File,Area,Dis_cut
1_01_01,A1_0000,178.0309013099978
1_01_01,A1_0001,178.3677982562263
1_01_01,A1_0002,178.7040127318163
1_01_01,A1_0003,179.0394871281485
1_01_01,A1_0004,179.374163963412
1_01_01,A1_0005,179.7079858924539
1_01_01,A1_0006,180.0408957166053
1_01_01,A1_0007,180.3728363934817
1_01_01,A1_0008,180.7037510467568
1_01_01,A1_0009,181.0335829759084
1_01_01,A1_0010,181.3622756659335
1_01_01,A1_0011,181.6897727970316
1_01_01,A1_0012,182.0160182542554
1_01_01,A1_0013,182.3409561371252
1_01_01,A1_0014,182.6645307692076
1_01_01,A1_0015,182.9866867076552
1_01_01,A1_0016,183.3073687527064
1_01_01,A1_0017,183.6265219571437
1_01_01,A1_0018,183.9440916357083
1_01_01,A1_0019,184.2600233744709
1_01_01,A1_0020,184.5742630401544
1_01_01,A1_0021,184.8867567894098
1_01_01,A1_0022,185.1974510780418
1_01_01,A1_0023,185.5062926701835
1_01_01,A1_0024,185.8132286474182
1_01_01,A1_0025,186.1182064178461
1_01_01,A1_0026,186.4211737250964
1_01_01,A1_0027,186.7220786572806
1_01_01,A1_0028,187.0208696558877
1_01_01,A1_0029,187.3174955246182
1_01_01,A1_0030,187.6119054381565
1_01_01,A1_0031,187.9040489508797
1_01_01,A1_0032,188.1938760055007
1_01_01,A1_0033,188.4813369416458
1_01_01,A1_0034,188.7663825043635
1_01_01,A1_0035,189.0489638525639
1_01_01,A1_0036,189.3290325673878
1_01_01,A1_0037,189.6065406605027
1_01_01,A1_0038,189.8814405823255
1_01_01,A1_0039,190.1536852301697
1_01_01,A1_0040,190.4232279563165
1_01_01,A1_0041,190.6900225760073
1_01_01,A1_0042,190.9540233753575
1_01_01,A1_0043,191.2151851191893
1_01_01,A1_0044,191.4734630587823
1_01_01,A1_0045,191.7288129395411
1_01_01,A1_0046,191.9811910085783
1_01_01,A1_0047,192.2305540222109
1_01_01,A1_0048,192.4768592533703
1_01_01,A1_0049,192.7200644989232
1_01_01,A1_0050,192.9601280869026
1_01_01,A1_0051,193.1970088836487
1_01_01,A1_0052,193.4306663008565
1_01_01,A1_0053,193.6610603025302
1_01_01,A1_0054,193.8881514118439
1_01_01,A1_0055,194.111900717905
1_01_01,A1_0056,194.3322698824218
1_01_01,A1_0057,194.5492211462724
1_01_01,A1_0058,194.7627173359747
1_01_01,A1_0059,194.9727218700555
1_01_01,A1_0060,195.1791987653191
1_01_01,A1_0061,195.3821126430124
1_01_01,A1_0062,195.5814287348871
1_01_01,A1_0063,195.7771128891569
1_01_01,A1_0064,195.9691315763494
1_01_01,A1_0065,196.1574518950511
1_01_01,A1_0066,196.3420415775448
1_01_01,A1_0067,196.5228689953386
1_01_01,A1_0068,196.6999031645855
1_01_01,A1_0069,196.8731137513919
1_01_01,A1_0070,197.0424710770155
1_01_01,A1_0071,197.2079461229503
1_01_01,A1_0072,197.3695105358992
1_01_01,A1_0073,197.5271366326316
1_01_01,A1_0074,197.6807974047275
1_01_01,A1_0075,197.8304665232044
1_01_01,A1_0076,197.9761183430296
1_01_01,A1_0077,198.1177279075133
1_01_01,A1_0078,198.255270952586
1_01_01,A1_0079,198.3887239109547
1_01_01,A1_0080,198.5180639161421
1_01_01,A1_0081,198.6432688064041
1_01_01,A1_0082,198.7643171285275
1_01_01,A1_0083,198.8811881415052
1_01_01,A1_0084,198.993861820091
1_01_01,A1_0085,199.10231885823
1_01_01,A1_0086,199.2065406723671
1_01_01,A1_0087,199.3065094046309
1_01_01,A1_0088,199.4022079258939
1_01_01,A1_0089,199.493619838707
1_01_01,A1_0090,199.5807294801097
1_01_01,A1_0091,199.6635219243133
1_01_01,A1_0092,199.7419829852586
1_01_01,A1_0093,199.8160992190469
1_01_01,A1_0094,199.8858579262429
1_01_01,A1_0095,199.9512471540514
1_01_01,A1_0096,200.0122556983648
1_01_01,A1_0097,200.0688731056831
1_01_01,A1_0098,200.1210896749051
1_01_01,A1_0099,200.1688964589902
1_01_01,A1_0100,200.2122852664924
1_01_01,A1_0101,200.2512486629627
1_01_01,A1_0102,200.2857799722238
1_01_01,A1_0103,200.3158732775135
1_01_01,A1_0104,200.341523422499
1_01_01,A1_0105,200.3627260121599
1_01_01,A1_0106,200.3794774135416
1_01_01,A1_0107,200.3917747563779
1_01_01,A1_0108,200.3996159335821
1_01_01,A1_0109,200.4029996016091
1_01_01,A1_0110,200.4019251806848
1_01_01,A1_0111,200.3963928549056
1_01_01,A1_0112,200.386403572207
1_01_01,A1_0113,200.3719590442012
1_01_01,A1_0114,200.3530617458838
1_01_01,A1_0115,200.3297149152096
1_01_01,A1_0116,200.3019225525377
1_01_01,A1_0117,200.2696894199464
1_01_01,A1_0118,200.2330210404171
1_01_01,A1_0119,200.1919236968879
1_01_01,A1_0120,200.1464044311769
1_01_01,A1_0121,200.0964710427761
1_01_01,A1_0122,200.0421320875144
1_01_01,A1_0123,199.9833968760921
1_01_01,A1_0124,199.9202754724854
1_01_01,A1_0125,199.8527786922218
1_01_01,A1_0126,199.780918100527
1_01_01,A1_0127,199.7047060103436
1_01_01,A1_0128,199.6241554802209
1_01_01,A1_0129,199.5392803120775
1_01_01,A1_0130,199.4500950488366
1_01_01,A1_0131,199.3566149719338
1_01_01,A1_0132,199.2588560986992
1_01_01,A1_0133,199.1568351796123
1_01_01,A1_0134,199.0505696954325
1_01_01,A1_0135,198.9400778542035
1_01_01,A1_0136,198.8253785881333
1_01_01,A1_0137,198.7064915503508
1_01_01,A1_0138,198.5834371115379
1_01_01,A1_0139,198.4562363564391
1_01_01,A1_0140,198.3249110802491
1_01_01,A1_0141,198.1894837848778
1_01_01,A1_0142,198.0499776750951
1_01_01,A1_0143,197.9064166545547
1_01_01,A1_0144,197.7588253216986
1_01_01,A1_0145,197.6072289655416
1_01_01,A1_0146,197.4516535613391
1_01_01,A1_0147,197.2921257661357
1_01_01,A1_0148,197.1286729141978
1_01_01,A1_0149,196.9613230123301
1_01_01,A1_0150,196.7901047350769
1_01_01,A1_0151,196.6150474198083
1_01_01,A1_0152,196.4361810616944
1_01_01,A1_0153,196.2535363085647
1_01_01,A1_0154,196.0671444556573
1_01_01,A1_0155,195.8770374402568
1_01_01,A1_0156,195.6832478362216
1_01_01,A1_0157,195.4858088484026
1_01_01,A1_0158,195.2847543069541
1_01_01,A1_0159,195.0801186615366
1_01_01,A1_0160,194.8719369754145
1_01_01,A1_0161,194.6602449194481
1_01_01,A1_0162,194.4450787659814
1_01_01,A1_0163,194.226475382627
1_01_01,A1_0164,194.0044722259493
1_01_01,A1_0165,193.7791073350463
1_01_01,A1_0166,193.550419325032
1_01_01,A1_0167,193.3184473804195
1_01_01,A1_0168,193.0832312484073
1_01_01,A1_0169,192.8448112320689
1_01_01,A1_0170,192.6032281834465
1_01_01,A1_0171,192.358523496552
1_01_01,A1_0172,192.1107391002735
1_01_01,A1_0173,191.859917451192
1_01_01,A1_0174,191.6061015263056
1_01_01,A1_0175,191.3493348156665
1_01_01,A1_0176,191.0896613149287
1_01_01,A1_0177,190.8271255178097
1_01_01,A1_0178,190.561772408467
1_01_01,A1_0179,190.2936474537896
1_01_01,A1_0180,190.0227965956083
1_01_01,A1_0181,189.7492662428232
1_01_01,A1_0182,189.4731032634523
1_01_01,A1_0183,189.1943549766003
1_01_01,A1_0184,188.9130691443511
1_01_01,A1_0185,188.629293963584
1_01_01,A1_0186,188.3430780577155
1_01_01,A1_0187,188.0544704683675
1_01_01,A1_0188,187.7635206469648
1_01_01,A1_0189,187.4702784462613
1_01_01,A1_0190,187.1747941117985
1_01_01,A1_0191,186.8771182732961
1_01_01,A1_0192,186.5773019359765
1_01_01,A1_0193,186.2753964718257
1_01_01,A1_0194,185.9714536107906
1_01_01,A1_0195,185.665525431916
1_01_01,A1_0196,185.3576643544202
1_01_01,A1_0197,185.047923128714
1_01_01,A1_0198,184.7363548273619
1_01_01,A1_0199,184.4230128359885
1_01_01,A1_0200,184.1079508441307
1_01_01,A1_0201,183.7912228360391
1_01_01,A1_0202,183.4728830814271
1_01_01,A1_0203,183.1529861261731
1_01_01,A1_0204,182.8315867829734
1_01_01,A1_0205,182.5087401219509
1_01_01,A1_0206,182.184501461219
1_01_01,A1_0207,181.858926357403
1_01_01,A1_0208,181.5320705961209
1_01_01,A1_0209,181.2039901824246
1_01_01,A1_0210,180.8747413312042
1_01_01,A1_0211,180.5443804575553
1_01_01,A1_0212,180.212964167113
1_01_01,A1_0213,179.8805492463524
1_01_01,A1_0214,179.5471926528589
1_01_01,A1_0215,179.2129515055687
1_01_01,A1_0216,178.8778830749817
1_01_01,A1_0217,178.5420447733486
1_01_01,A1_0218,178.2054941448335
1_01_01,A1_0219,177.8682888556539
1_01_01,A1_0220,177.5304866842003
1_01_01,A1_0221,177.1921455111357
1_01_01,A1_0222,176.8533233094783
1_01_01,A1_0223,176.5140781346681
1_01_01,A1_0224,176.1744681146194
1_01_01,A1_0225,175.8345514397608
1_01_01,A1_0226,175.4943863530647
1_01_01,A1_0227,175.1540311400674
1_01_01,A1_0228,174.8135441188826
1_01_01,A1_0229,174.4729836302085
1_01_01,A1_0230,174.1324080273316
1_01_01,A1_0231,173.7918756661283
1_01_01,A1_0232,173.4514448950655
1_01_01,A1_0233,173.1111740452033
1_01_01,A1_0234,172.7711214202001
1_01_01,A1_0235,172.4313452863227
1_01_01,A1_0236,172.0919038624623
1_01_01,A1_0237,171.7528553101595
1_01_01,A1_0238,171.4142577236384
1_01_01,A1_0239,171.0761691198522
1_01_01,A1_0240,170.7386474285428
1_01_01,A1_0241,170.4017504823143
1_01_01,A1_0242,170.0655360067242
1_01_01,A1_0243,169.730061610392
1_01_01,A1_0244,169.3953847751286
1_01_01,A1_0245,169.0615628460866
1_01_01,A1_0246,168.7286530219352
1_01_01,A1_0247,168.3967123450589
1_01_01,A1_0248,168.0657976917837
1_01_01,A1_0249,167.7359657626321
1_01_01,A1_0250,167.4072730726071
1_01_01,A1_0251,167.079775941509
1_01_01,A1_0252,166.7535304842852
1_01_01,A1_0253,166.4285926014154
1_01_01,A1_0254,166.1050179693329
1_01_01,A1_0255,165.7828620308853
1_01_01,A1_0256,165.4621799858341
1_01_01,A1_0257,165.1430267813969
1_01_01,A1_0258,164.8254571028322
1_01_01,A1_0259,164.5095253640696
1_01_01,A1_0260,164.1952856983862
1_01_01,A1_0261,163.8827919491308
1_01_01,A1_0262,163.5720976604988
1_01_01,A1_0263,163.263256068357
1_01_01,A1_0264,162.9563200911224
1_01_01,A1_0265,162.6513423206945
1_01_01,A1_0266,162.3483750134442
1_01_01,A1_0267,162.04747008126
1_01_01,A1_0268,161.7486790826529
1_01_01,A1_0269,161.4520532139224
1_01_01,A1_0270,161.157643300384
1_01_01,A1_0271,160.8654997876608
1_01_01,A1_0272,160.5756727330398
1_01_01,A1_0273,160.2882117968947
1_01_01,A1_0274,160.0031662341771
1_01_01,A1_0275,159.7205848859766
1_01_01,A1_0276,159.4405161711528
1_01_01,A1_0277,159.1630080780378
1_01_01,A1_0278,158.8881081562151
1_01_01,A1_0279,158.6158635083709
1_01_01,A1_0280,158.3463207822241
1_01_01,A1_0281,158.0795261625333
1_01_01,A1_0282,157.815525363183
1_01_01,A1_0283,157.5543636193512
1_01_01,A1_0284,157.2960856797583
1_01_01,A1_0285,157.0407357989994
1_01_01,A1_0286,156.7883577299623
1_01_01,A1_0287,156.5389947163297
1_01_01,A1_0288,156.2926894851702
1_01_01,A1_0289,156.0494842396174
1_01_01,A1_0290,155.8094206516379
1_01_01,A1_0291,155.5725398548918
1_01_01,A1_0292,155.3388824376841
1_01_01,A1_0293,155.1084884360103
1_01_01,A1_0294,154.8813973266966
1_01_01,A1_0295,154.6576480206355
1_01_01,A1_0296,154.4372788561187
1_01_01,A1_0297,154.2203275922681
1_01_01,A1_0298,154.0068314025659
1_01_01,A1_0299,153.7968268684851
1_01_01,A1_0300,153.5903499732215
1_01_01,A1_0301,153.3874360955282
1_01_01,A1_0302,153.1881200036535
1_01_01,A1_0303,152.9924358493836
1_01_01,A1_0304,152.8004171621911
1_01_01,A1_0305,152.6120968434894
1_01_01,A1_0306,152.4275071609958
1_01_01,A1_0307,152.2466797432019
1_01_01,A1_0308,152.0696455739551
1_01_01,A1_0309,151.8964349871486
1_01_01,A1_0310,151.7270776615251
1_01_01,A1_0311,151.5616026155902
1_01_01,A1_0312,151.4000382026414
1_01_01,A1_0313,151.2424121059089
1_01_01,A1_0314,151.0887513338131
1_01_01,A1_0315,150.9390822153361
1_01_01,A1_0316,150.793430395511
1_01_01,A1_0317,150.6518208310272
1_01_01,A1_0318,150.5142777859546
1_01_01,A1_0319,150.3808248275859
1_01_01,A1_0320,150.2514848223985
1_01_01,A1_0321,150.1262799321364
1_01_01,A1_0322,150.0052316100131
1_01_01,A1_0323,149.8883605970353
1_01_01,A1_0324,149.7756869184496
1_01_01,A1_0325,149.6672298803106
1_01_01,A1_0326,149.5630080661735
1_01_01,A1_0327,149.4630393339096
1_01_01,A1_0328,149.3673408126467
1_01_01,A1_0329,149.2759288998335
1_01_01,A1_0330,149.1888192584308
1_01_01,A1_0331,149.1060268142273
1_01_01,A1_0332,149.0275657532819
1_01_01,A1_0333,148.9534495194937
1_01_01,A1_0334,148.8836908122976
1_01_01,A1_0335,148.8183015844891
1_01_01,A1_0336,148.7572930401757
1_01_01,A1_0337,148.7006756328574
1_01_01,A1_0338,148.6484590636355
1_01_01,A1_0339,148.6006522795503
1_01_01,A1_0340,148.5572634720481
1_01_01,A1_0341,148.5183000755778
1_01_01,A1_0342,148.4837687663168
1_01_01,A1_0343,148.453675461027
1_01_01,A1_0344,148.4280253160416
1_01_01,A1_0345,148.4068227263807
1_01_01,A1_0346,148.3900713249989
1_01_01,A1_0347,148.3777739821627
1_01_01,A1_0348,148.3699328049584
1_01_01,A1_0349,148.3665491369314
1_01_01,A1_0350,148.3676235578558
1_01_01,A1_0351,148.373155883635
1_01_01,A1_0352,148.3831451663336
1_01_01,A1_0353,148.3975896943393
1_01_01,A1_0354,148.4164869926567
1_01_01,A1_0355,148.439833823331
1_01_01,A1_0356,148.4676261860029
1_01_01,A1_0357,148.4998593185941
1_01_01,A1_0358,148.5365276981234
1_01_01,A1_0359,148.5776250416527
1_01_01,A1_0360,148.6231443073636
1_01_01,A1_0361,148.6730776957645
1_01_01,A1_0362,148.7274166510261
1_01_01,A1_0363,148.7861518624484
1_01_01,A1_0364,148.8492732660551
1_01_01,A1_0365,148.9167700463188
1_01_01,A1_0366,148.9886306380135
1_01_01,A1_0367,149.0648427281969
1_01_01,A1_0368,149.1453932583196
1_01_01,A1_0369,149.230268426463
1_01_01,A1_0370,149.319453689704
1_01_01,A1_0371,149.4129337666067
1_01_01,A1_0372,149.5106926398414
1_01_01,A1_0373,149.6127135589282
1_01_01,A1_0374,149.718979043108
1_01_01,A1_0375,149.8294708843371
1_01_01,A1_0376,149.9441701504073
1_01_01,A1_0377,150.0630571881898
1_01_01,A1_0378,150.1861116270027
1_01_01,A1_0379,150.3133123821015
1_01_01,A1_0380,150.4446376582915
1_01_01,A1_0381,150.5800649536628
1_01_01,A1_0382,150.7195710634455
1_01_01,A1_0383,150.8631320839858
1_01_01,A1_0384,151.010723416842
1_01_01,A1_0385,151.1623197729989
1_01_01,A1_0386,151.3178951772014
1_01_01,A1_0387,151.4774229724048
1_01_01,A1_0388,151.6408758243427
1_01_01,A1_0389,151.8082257262104
1_01_01,A1_0390,151.9794440034637
1_01_01,A1_0391,152.1545013187322
1_01_01,A1_0392,152.3333676768461
1_01_01,A1_0393,152.5160124299759
1_01_01,A1_0394,152.7024042828832
1_01_01,A1_0395,152.8925112982838
1_01_01,A1_0396,153.086300902319
1_01_01,A1_0397,153.283739890138
1_01_01,A1_0398,153.4847944315865
1_01_01,A1_0399,153.689430077004
1_01_01,A1_0400,153.897611763126
1_01_01,A1_0401,154.1093038190924
1_01_01,A1_0402,154.3244699725592
1_01_01,A1_0403,154.5430733559136
1_01_01,A1_0404,154.7650765125913
1_01_01,A1_0405,154.9904414034942
1_01_01,A1_0406,155.2191294135085
1_01_01,A1_0407,155.4511013581211
1_01_01,A1_0408,155.6863174901332
1_01_01,A1_0409,155.9247375064717
1_01_01,A1_0410,156.166320555094
1_01_01,A1_0411,156.4110252419886
1_01_01,A1_0412,156.658809638267
1_01_01,A1_0413,156.9096312873486
1_01_01,A1_0414,157.163447212235
1_01_01,A1_0415,157.4202139228741
1_01_01,A1_0416,157.6798874236119
1_01_01,A1_0417,157.9424232207308
1_01_01,A1_0418,158.2077763300736
1_01_01,A1_0419,158.475901284751
1_01_01,A1_0420,158.7467521429323
1_01_01,A1_0421,159.0202824957173
1_01_01,A1_0422,159.2964454750883
1_01_01,A1_0423,159.5751937619403
1_01_01,A1_0424,159.8564795941895
1_01_01,A1_0425,160.1402547749565
1_01_01,A1_0426,160.426470680825
1_01_01,A1_0427,160.715078270173
1_01_01,A1_0428,161.0060280915758
1_01_01,A1_0429,161.2992702922793
1_01_01,A1_0430,161.594754626742
1_01_01,A1_0431,161.8924304652444
1_01_01,A1_0432,162.192246802564
1_01_01,A1_0433,162.4941522667149
1_01_01,A1_0434,162.7980951277499
1_01_01,A1_0435,163.1040233066246
1_01_01,A1_0436,163.4118843841204
1_01_01,A1_0437,163.7216256098266
1_01_01,A1_0438,164.0331939111786
1_01_01,A1_0439,164.3465359025521
1_01_01,A1_0440,164.6615978944099
1_01_01,A1_0441,164.9783259025015
1_01_01,A1_0442,165.2966656571134
1_01_01,A1_0443,165.6165626123675
1_01_01,A1_0444,165.9379619555671
1_01_01,A1_0445,166.2608086165896
1_01_01,A1_0446,166.5850472773216
1_01_01,A1_0447,166.9106223811375
1_01_01,A1_0448,167.2374781424197
1_01_01,A1_0449,167.5655585561159
1_01_01,A1_0450,167.8948074073363
1_01_01,A1_0451,168.2251682809852
1_01_01,A1_0452,168.5565845714275
1_01_01,A1_0453,168.8889994921882
1_01_01,A1_0454,169.2223560856817
1_01_01,A1_0455,169.5565972329719
1_01_01,A1_0456,169.8916656635588
1_01_01,A1_0457,170.2275039651919
1_01_01,A1_0458,170.5640545937071
1_01_01,A1_0459,170.9012598828866
1_01_01,A1_0460,171.2390620543403
1_01_01,A1_0461,171.5774032274049
1_01_01,A1_0462,171.9162254290623
1_01_01,A1_0463,172.2554706038725
1_01_01,A1_0464,172.5950806239212
1_01_01,A1_0465,172.9349972987798
1_01_01,A1_0466,173.2751623854759
1_01_01,A1_0467,173.6155175984732
1_01_01,A1_0468,173.956004619658
1_01_01,A1_0469,174.296565108332
1_01_01,A1_0470,174.6371407112089
1_01_01,A1_0471,174.9776730724122
1_01_01,A1_0472,175.3181038434751
1_01_01,A1_0473,175.6583746933373
1_01_01,A1_0474,175.9984273183404
1_01_01,A1_0475,176.3382034522179
1_01_01,A1_0476,176.6776448760783
1_01_01,A1_0477,177.016693428381
1_01_01,A1_0478,177.3552910149022
1_01_01,A1_0479,177.6933796186884
1_01_01,A1_0480,178.0309013099978
1_01_02,A1_0000,182.7046777399976
1_01_02,A1_0001,183.0865317746891
1_01_02,A1_0002,183.4669109368499
1_01_02,A1_0003,183.8457500504688
1_01_02,A1_0004,184.222984203414
1_01_02,A1_0005,184.5985487585553
1_01_02,A1_0006,184.9723793648397
1_01_02,A1_0007,185.3444119683172
1_01_02,A1_0008,185.7145828231165
1_01_02,A1_0009,186.0828285023672
1_01_02,A1_0010,186.449085909068
1_01_02,A1_0011,186.8132922868976
1_01_02,A1_0012,187.1753852309683
1_01_02,A1_0013,187.535302698518
1_01_02,A1_0014,187.8929830195416
1_01_02,A1_0015,188.2483649073575
1_01_02,A1_0016,188.6013874691086
1_01_02,A1_0017,188.9519902161963
1_01_02,A1_0018,189.3001130746449
1_01_02,A1_0019,189.6456963953947
1_01_02,A1_0020,189.9886809645228
1_01_02,A1_0021,190.3290080133889
1_01_02,A1_0022,190.6666192287052
1_01_02,A1_0023,191.001456762528
1_01_02,A1_0024,191.3334632421696
1_01_02,A1_0025,191.662581780029
1_01_02,A1_0026,191.9887559833389
1_01_02,A1_0027,192.3119299638287
1_01_02,A1_0028,192.6320483473007
1_01_02,A1_0029,192.9490562831178
1_01_02,A1_0030,193.2628994536021
1_01_02,A1_0031,193.573524083342
1_01_02,A1_0032,193.8808769484064
1_01_02,A1_0033,194.1849053854641
1_01_02,A1_0034,194.4855573008074
1_01_02,A1_0035,194.7827811792786
1_01_02,A1_0036,195.0765260930961
1_01_02,A1_0037,195.3667417105812
1_01_02,A1_0038,195.6533783047817
1_01_02,A1_0039,195.936386761993
1_01_02,A1_0040,196.2157185901728
1_01_02,A1_0041,196.4913259272503
1_01_02,A1_0042,196.7631615493272
1_01_02,A1_0043,197.0311788787691
1_01_02,A1_0044,197.2953319921862
1_01_02,A1_0045,197.5555756283026
1_01_02,A1_0046,197.8118651957108
1_01_02,A1_0047,198.0641567805128
1_01_02,A1_0048,198.3124071538445
1_01_02,A1_0049,198.5565737792824
1_01_02,A1_0050,198.7966148201321
