File,Area,Data
1_00_01,A1_0000,104.66
1_00_01,A1_0001,104.9
1_00_01,A1_0002,105.43
1_00_01,A1_0003,105.67
1_00_01,A1_0004,105.96
1_00_01,A1_0005,106.48
1_00_01,A1_0006,106.69
1_00_01,A1_0007,107.04
1_00_01,A1_0008,107.52
1_00_01,A1_0009,107.71
1_00_01,A1_0010,108.11
1_00_01,A1_0011,108.55
1_00_01,A1_0012,108.74
1_00_01,A1_0013,109.17
1_00_01,A1_0014,109.57
1_00_01,A1_0015,109.76
1_00_01,A1_0016,110.22
1_00_01,A1_0017,110.59
1_00_01,A1_0018,110.79
1_00_01,A1_0019,111.24
1_00_01,A1_0020,111.6
1_00_01,A1_0021,111.78
1_00_01,A1_0022,112.27
1_00_01,A1_0023,112.61
1_00_01,A1_0024,112.79
1_00_01,A1_0025,113.27
1_00_01,A1_0026,113.61
1_00_01,A1_0027,113.78
1_00_01,A1_0028,114.23
1_00_01,A1_0029,114.6
1_00_01,A1_0030,114.78
1_00_01,A1_0031,115.26
1_00_01,A1_0032,115.58
1_00_01,A1_0033,115.73
1_00_01,A1_0034,116.13
1_00_01,A1_0035,116.51
1_00_01,A1_0036,116.68
1_00_01,A1_0037,116.96
1_00_01,A1_0038,117.43
1_00_01,A1_0039,117.63
1_00_01,A1_0040,117.81
1_00_01,A1_0041,118.23
1_00_01,A1_0042,118.54
1_00_01,A1_0043,118.68
1_00_01,A1_0044,118.93
1_00_01,A1_0045,119.35
1_00_01,A1_0046,119.6
1_00_01,A1_0047,119.71
1_00_01,A1_0048,119.99
1_00_01,A1_0049,120.36
1_00_01,A1_0050,120.59
1_00_01,A1_0051,120.7
1_00_01,A1_0052,120.91
1_00_01,A1_0053,121.24
1_00_01,A1_0054,121.5
1_00_01,A1_0055,121.65
1_00_01,A1_0056,121.76
1_00_01,A1_0057,121.97
1_00_01,A1_0058,122.28
1_00_01,A1_0059,122.53
1_00_01,A1_0060,122.64
1_00_01,A1_0061,122.72
1_00_01,A1_0062,122.86
1_00_01,A1_0063,123.14
1_00_01,A1_0064,123.38
1_00_01,A1_0065,123.53
1_00_01,A1_0066,123.63
1_00_01,A1_0067,123.7
1_00_01,A1_0068,123.82
1_00_01,A1_0069,123.97
1_00_01,A1_0070,124.21
1_00_01,A1_0071,124.41
1_00_01,A1_0072,124.54
1_00_01,A1_0073,124.61
1_00_01,A1_0074,124.67
1_00_01,A1_0075,124.74
1_00_01,A1_0076,124.86
1_00_01,A1_0077,125.09
1_00_01,A1_0078,125.27
1_00_01,A1_0079,125.44
1_00_01,A1_0080,125.54
1_00_01,A1_0081,125.63
1_00_01,A1_0082,125.66
1_00_01,A1_0083,125.73
1_00_01,A1_0084,125.8
1_00_01,A1_0085,125.9
1_00_01,A1_0086,126.06
1_00_01,A1_0087,126.23
1_00_01,A1_0088,126.34
1_00_01,A1_0089,126.44
1_00_01,A1_0090,126.49
1_00_01,A1_0091,126.56
1_00_01,A1_0092,126.61
1_00_01,A1_0093,126.64
1_00_01,A1_0094,126.65
1_00_01,A1_0095,126.67
1_00_01,A1_0096,126.7
1_00_01,A1_0097,126.71
1_00_01,A1_0098,126.72
1_00_01,A1_0099,126.73
1_00_01,A1_0100,126.75
1_00_01,A1_0101,126.73
1_00_01,A1_0102,126.74
1_00_01,A1_0103,126.73
1_00_01,A1_0104,126.72
1_00_01,A1_0105,126.72
1_00_01,A1_0106,126.68
1_00_01,A1_0107,126.67
1_00_01,A1_0108,126.66
1_00_01,A1_0109,126.63
1_00_01,A1_0110,126.59
1_00_01,A1_0111,126.56
1_00_01,A1_0112,126.51
1_00_01,A1_0113,126.44
1_00_01,A1_0114,126.36
1_00_01,A1_0115,126.26
1_00_01,A1_0116,126.16
1_00_01,A1_0117,125.96
1_00_01,A1_0118,125.86
1_00_01,A1_0119,125.75
1_00_01,A1_0120,125.68
1_00_01,A1_0121,125.63
1_00_01,A1_0122,125.55
1_00_01,A1_0123,125.45
1_00_01,A1_0124,125.32
1_00_01,A1_0125,125.13
1_00_01,A1_0126,124.9
1_00_01,A1_0127,124.77
1_00_01,A1_0128,124.68
1_00_01,A1_0129,124.6
1_00_01,A1_0130,124.47
1_00_01,A1_0131,124.33
1_00_01,A1_0132,124.1
1_00_01,A1_0133,123.85
1_00_01,A1_0134,123.71
1_00_01,A1_0135,123.63
1_00_01,A1_0136,123.51
1_00_01,A1_0137,123.35
1_00_01,A1_0138,123.08
1_00_01,A1_0139,122.84
1_00_01,A1_0140,122.69
1_00_01,A1_0141,122.58
1_00_01,A1_0142,122.43
1_00_01,A1_0143,122.22
1_00_01,A1_0144,121.92
1_00_01,A1_0145,121.71
1_00_01,A1_0146,121.6
1_00_01,A1_0147,121.44
1_00_01,A1_0148,121.21
1_00_01,A1_0149,120.88
1_00_01,A1_0150,120.68
1_00_01,A1_0151,120.57
1_00_01,A1_0152,120.36
1_00_01,A1_0153,120.08
1_00_01,A1_0154,119.76
1_00_01,A1_0155,119.63
1_00_01,A1_0156,119.43
1_00_01,A1_0157,119.15
1_00_01,A1_0158,118.8
1_00_01,A1_0159,118.63
1_00_01,A1_0160,118.44
1_00_01,A1_0161,118.14
1_00_01,A1_0162,117.78
1_00_01,A1_0163,117.59
1_00_01,A1_0164,117.39
1_00_01,A1_0165,117.01
1_00_01,A1_0166,116.7
1_00_01,A1_0167,116.52
1_00_01,A1_0168,116.24
1_00_01,A1_0169,115.81
1_00_01,A1_0170,115.61
1_00_01,A1_0171,115.37
1_00_01,A1_0172,114.93
1_00_01,A1_0173,114.66
1_00_01,A1_0174,114.41
1_00_01,A1_0175,114.01
1_00_01,A1_0176,113.68
1_00_01,A1_0177,113.43
1_00_01,A1_0178,113.01
1_00_01,A1_0179,112.69
1_00_01,A1_0180,112.42
1_00_01,A1_0181,111.98
1_00_01,A1_0182,111.66
1_00_01,A1_0183,111.4
1_00_01,A1_0184,110.95
1_00_01,A1_0185,110.64
1_00_01,A1_0186,110.38
1_00_01,A1_0187,109.89
1_00_01,A1_0188,109.62
1_00_01,A1_0189,109.32
1_00_01,A1_0190,108.83
1_00_01,A1_0191,108.58
1_00_01,A1_0192,108.3
1_00_01,A1_0193,107.9
1_00_01,A1_0194,122.97
1_00_01,A1_0195,189.56
1_00_01,A1_0196,107.09
1_00_01,A1_0197,106.51
1_00_01,A1_0198,106.05
1_00_01,A1_0199,105.67
1_00_01,A1_0200,105.35
1_00_01,A1_0201,104.85
1_00_01,A1_0202,104.56
1_00_01,A1_0203,104.21
1_00_01,A1_0204,103.73
1_00_01,A1_0205,103.47
1_00_01,A1_0206,103.07
1_00_01,A1_0207,102.65
1_00_01,A1_0208,102.38
1_00_01,A1_0209,101.87
1_00_01,A1_0210,101.59
1_00_01,A1_0211,101.24
1_00_01,A1_0212,100.76
1_00_01,A1_0213,100.48
1_00_01,A1_0214,100.05
1_00_01,A1_0215,99.68
1_00_01,A1_0216,99.38
1_00_01,A1_0217,98.87
1_00_01,A1_0218,98.59
1_00_01,A1_0219,98.26
1_00_01,A1_0220,97.75
1_00_01,A1_0221,97.49
1_00_01,A1_0222,97.04
1_00_01,A1_0223,96.66
1_00_01,A1_0224,96.34
1_00_01,A1_0225,95.84
1_00_01,A1_0226,95.54
1_00_01,A1_0227,95.14
1_00_01,A1_0228,94.7
1_00_01,A1_0229,94.41
1_00_01,A1_0230,93.88
1_00_01,A1_0231,93.58
1_00_01,A1_0232,93.22
1_00_01,A1_0233,92.74
1_00_01,A1_0234,92.43
1_00_01,A1_0235,91.95
1_00_01,A1_0236,91.63
1_00_01,A1_0237,91.27
1_00_01,A1_0238,90.75
1_00_01,A1_0239,90.49
1_00_01,A1_0240,90.02
1_00_01,A1_0241,89.65
1_00_01,A1_0242,89.34
1_00_01,A1_0243,88.84
1_00_01,A1_0244,88.54
1_00_01,A1_0245,88.18
1_00_01,A1_0246,87.71
1_00_01,A1_0247,87.44
1_00_01,A1_0248,87.01
1_00_01,A1_0249,86.66
1_00_01,A1_0250,86.34
1_00_01,A1_0251,85.84
1_00_01,A1_0252,85.59
1_00_01,A1_0253,85.23
1_00_01,A1_0254,84.77
1_00_01,A1_0255,84.54
1_00_01,A1_0256,84.19
1_00_01,A1_0257,83.75
1_00_01,A1_0258,83.52
1_00_01,A1_0259,83.15
1_00_01,A1_0260,82.73
1_00_01,A1_0261,82.52
1_00_01,A1_0262,82.14
1_00_01,A1_0263,81.75
1_00_01,A1_0264,81.54
1_00_01,A1_0265,81.23
1_00_01,A1_0266,80.78
1_00_01,A1_0267,80.59
1_00_01,A1_0268,80.33
1_00_01,A1_0269,79.88
1_00_01,A1_0270,79.66
1_00_01,A1_0271,79.43
1_00_01,A1_0272,79.06
1_00_01,A1_0273,78.73
1_00_01,A1_0274,78.55
1_00_01,A1_0275,78.27
1_00_01,A1_0276,77.88
1_00_01,A1_0277,77.65
1_00_01,A1_0278,77.45
1_00_01,A1_0279,77.14
1_00_01,A1_0280,76.77
1_00_01,A1_0281,76.6
1_00_01,A1_0282,76.39
1_00_01,A1_0283,76.05
1_00_01,A1_0284,75.73
1_00_01,A1_0285,75.58
1_00_01,A1_0286,75.35
1_00_01,A1_0287,75.02
1_00_01,A1_0288,74.71
1_00_01,A1_0289,74.58
1_00_01,A1_0290,74.36
1_00_01,A1_0291,74.01
1_00_01,A1_0292,73.74
1_00_01,A1_0293,73.6
1_00_01,A1_0294,73.41
1_00_01,A1_0295,73.13
1_00_01,A1_0296,72.8
1_00_01,A1_0297,72.65
1_00_01,A1_0298,72.5
1_00_01,A1_0299,72.27
1_00_01,A1_0300,71.94
1_00_01,A1_0301,71.73
1_00_01,A1_0302,71.61
1_00_01,A1_0303,71.44
1_00_01,A1_0304,71.22
1_00_01,A1_0305,70.92
1_00_01,A1_0306,70.72
1_00_01,A1_0307,70.63
1_00_01,A1_0308,70.48
1_00_01,A1_0309,70.31
1_00_01,A1_0310,70.06
1_00_01,A1_0311,69.82
1_00_01,A1_0312,69.69
1_00_01,A1_0313,69.61
1_00_01,A1_0314,69.51
1_00_01,A1_0315,69.38
1_00_01,A1_0316,69.23
1_00_01,A1_0317,69.1
1_00_01,A1_0318,68.91
1_00_01,A1_0319,68.8
1_00_01,A1_0320,68.73
1_00_01,A1_0321,68.68
1_00_01,A1_0322,68.65
1_00_01,A1_0323,68.59
1_00_01,A1_0324,68.55
1_00_01,A1_0325,68.51
1_00_01,A1_0326,68.45
1_00_01,A1_0327,68.39
1_00_01,A1_0328,68.32
1_00_01,A1_0329,68.28
1_00_01,A1_0330,68.24
1_00_01,A1_0331,68.16
1_00_01,A1_0332,68.11
1_00_01,A1_0333,68.08
1_00_01,A1_0334,67.81
1_00_01,A1_0335,67.81
1_00_01,A1_0336,68.03
1_00_01,A1_0337,67.92
1_00_01,A1_0338,67.88
1_00_01,A1_0339,67.97
1_00_01,A1_0340,67.96
1_00_01,A1_0341,67.84
1_00_01,A1_0342,67.93
1_00_01,A1_0343,68.0
1_00_01,A1_0344,67.98
1_00_01,A1_0345,67.91
1_00_01,A1_0346,68.1
1_00_01,A1_0347,68.15
1_00_01,A1_0348,68.09
1_00_01,A1_0349,68.31
1_00_01,A1_0350,68.38
1_00_01,A1_0351,68.34
1_00_01,A1_0352,68.42
1_00_01,A1_0353,68.59
1_00_01,A1_0354,68.54
1_00_01,A1_0355,68.56
1_00_01,A1_0356,68.66
1_00_01,A1_0357,68.72
1_00_01,A1_0358,68.69
1_00_01,A1_0359,68.76
1_00_01,A1_0360,68.94
1_00_01,A1_0361,68.92
1_00_01,A1_0362,69.05
1_00_01,A1_0363,69.34
1_00_01,A1_0364,69.43
1_00_01,A1_0365,69.5
1_00_01,A1_0366,69.63
1_00_01,A1_0367,69.7
1_00_01,A1_0368,69.74
1_00_01,A1_0369,69.88
1_00_01,A1_0370,70.15
1_00_01,A1_0371,70.35
1_00_01,A1_0372,70.48
1_00_01,A1_0373,70.62
1_00_01,A1_0374,70.7
1_00_01,A1_0375,70.82
1_00_01,A1_0376,71.07
1_00_01,A1_0377,71.32
1_00_01,A1_0378,71.51
1_00_01,A1_0379,71.67
1_00_01,A1_0380,71.76
1_00_01,A1_0381,71.96
1_00_01,A1_0382,72.32
1_00_01,A1_0383,72.56
1_00_01,A1_0384,72.67
1_00_01,A1_0385,72.81
1_00_01,A1_0386,73.14
1_00_01,A1_0387,73.45
1_00_01,A1_0388,73.64
1_00_01,A1_0389,73.77
1_00_01,A1_0390,74.1
1_00_01,A1_0391,74.42
1_00_01,A1_0392,74.63
1_00_01,A1_0393,74.8
1_00_01,A1_0394,75.13
1_00_01,A1_0395,75.46
1_00_01,A1_0396,75.66
1_00_01,A1_0397,75.87
1_00_01,A1_0398,76.23
1_00_01,A1_0399,76.54
1_00_01,A1_0400,76.7
1_00_01,A1_0401,76.98
1_00_01,A1_0402,77.39
1_00_01,A1_0403,77.63
1_00_01,A1_0404,77.82
1_00_01,A1_0405,78.2
1_00_01,A1_0406,78.56
1_00_01,A1_0407,78.72
1_00_01,A1_0408,79.04
1_00_01,A1_0409,79.45
1_00_01,A1_0410,79.66
1_00_01,A1_0411,79.87
1_00_01,A1_0412,80.3
1_00_01,A1_0413,80.61
1_00_01,A1_0414,80.78
1_00_01,A1_0415,81.15
1_00_01,A1_0416,81.52
1_00_01,A1_0417,81.71
1_00_01,A1_0418,82.01
1_00_01,A1_0419,82.44
1_00_01,A1_0420,82.66
1_00_01,A1_0421,82.92
1_00_01,A1_0422,83.38
1_00_01,A1_0423,83.64
1_00_01,A1_0424,83.85
1_00_01,A1_0425,84.33
1_00_01,A1_0426,84.62
1_00_01,A1_0427,84.81
1_00_01,A1_0428,85.28
1_00_01,A1_0429,85.61
1_00_01,A1_0430,85.8
1_00_01,A1_0431,86.26
1_00_01,A1_0432,86.61
1_00_01,A1_0433,86.8
1_00_01,A1_0434,87.3
1_00_01,A1_0435,87.62
1_00_01,A1_0436,87.86
1_00_01,A1_0437,88.4
1_00_01,A1_0438,88.67
1_00_01,A1_0439,89.01
1_00_01,A1_0440,89.5
1_00_01,A1_0441,89.74
1_00_01,A1_0442,90.23
1_00_01,A1_0443,90.63
1_00_01,A1_0444,90.87
1_00_01,A1_0445,91.43
1_00_01,A1_0446,91.69
1_00_01,A1_0447,92.12
1_00_01,A1_0448,92.59
1_00_01,A1_0449,92.81
1_00_01,A1_0450,93.4
1_00_01,A1_0451,93.67
1_00_01,A1_0452,94.05
1_00_01,A1_0453,94.56
1_00_01,A1_0454,94.79
1_00_01,A1_0455,95.34
1_00_01,A1_0456,95.66
1_00_01,A1_0457,95.99
1_00_01,A1_0458,96.52
1_00_01,A1_0459,96.75
1_00_01,A1_0460,97.27
1_00_01,A1_0461,97.64
1_00_01,A1_0462,97.9
1_00_01,A1_0463,98.45
1_00_01,A1_0464,98.69
1_00_01,A1_0465,99.05
1_00_01,A1_0466,99.55
1_00_01,A1_0467,99.77
1_00_01,A1_0468,100.27
1_00_01,A1_0469,100.63
1_00_01,A1_0470,100.87
1_00_01,A1_0471,101.43
1_00_01,A1_0472,101.66
1_00_01,A1_0473,102.01
1_00_01,A1_0474,102.53
1_00_01,A1_0475,102.72
1_00_01,A1_0476,103.18
1_00_01,A1_0477,103.59
1_00_01,A1_0478,103.8
1_00_01,A1_0479,104.29
1_00_01,E1_0000,104.87
1_00_01,E1_0001,105.41
1_00_01,E1_0002,105.66
1_00_01,E1_0003,105.94
1_00_01,E1_0004,106.47
1_00_01,E1_0005,106.69
1_00_01,E1_0006,107.04
1_00_01,E1_0007,107.51
1_00_01,E1_0008,107.7
1_00_01,E1_0009,108.14
1_00_01,E1_0010,108.55
1_00_01,E1_0011,108.74
1_00_01,E1_0012,109.19
1_00_01,E1_0013,109.56
1_00_01,E1_0014,109.75
1_00_01,E1_0015,110.21
1_00_01,E1_0016,110.59
1_00_01,E1_0017,110.77
1_00_01,E1_0018,111.24
1_00_01,E1_0019,111.6
1_00_01,E1_0020,111.8
1_00_01,E1_0021,112.29
1_00_01,E1_0022,112.61
1_00_01,E1_0023,112.79
1_00_01,E1_0024,113.28
1_00_01,E1_0025,113.61
1_00_01,E1_0026,113.8
1_00_01,E1_0027,114.29
1_00_01,E1_0028,114.61
1_00_01,E1_0029,114.79
1_00_01,E1_0030,115.24
1_00_01,E1_0031,115.58
1_00_01,E1_0032,115.74
1_00_01,E1_0033,116.12
1_00_01,E1_0034,116.52
1_00_01,E1_0035,116.71
1_00_01,E1_0036,117.0
1_00_01,E1_0037,117.41
1_00_01,E1_0038,117.63
1_00_01,E1_0039,117.82
1_00_01,E1_0040,118.25
1_00_01,E1_0041,118.55
1_00_01,E1_0042,118.7
1_00_01,E1_0043,118.96
1_00_01,E1_0044,119.36
1_00_01,E1_0045,119.59
1_00_01,E1_0046,119.74
1_00_01,E1_0047,119.98
1_00_01,E1_0048,120.38
1_00_01,E1_0049,120.59
1_00_01,E1_0050,120.71
1_00_01,E1_0051,120.91
1_00_01,E1_0052,121.29
1_00_01,E1_0053,121.51
1_00_01,E1_0054,121.65
1_00_01,E1_0055,121.74
1_00_01,E1_0056,121.99
1_00_01,E1_0057,122.32
1_00_01,E1_0058,122.53
1_00_01,E1_0059,122.66
1_00_01,E1_0060,122.72
1_00_01,E1_0061,122.91
1_00_01,E1_0062,123.2
1_00_01,E1_0063,123.4
1_00_01,E1_0064,123.55
1_00_01,E1_0065,123.65
1_00_01,E1_0066,123.73
1_00_01,E1_0067,123.83
1_00_01,E1_0068,124.07
1_00_01,E1_0069,124.27
1_00_01,E1_0070,124.45
1_00_01,E1_0071,124.55
1_00_01,E1_0072,124.63
1_00_01,E1_0073,124.69
1_00_01,E1_0074,124.78
1_00_01,E1_0075,124.93
1_00_01,E1_0076,125.16
1_00_01,E1_0077,125.35
1_00_01,E1_0078,125.47
1_00_01,E1_0079,125.58
1_00_01,E1_0080,125.65
1_00_01,E1_0081,125.7
1_00_01,E1_0082,125.77
1_00_01,E1_0083,125.88
1_00_01,E1_0084,126.01
1_00_01,E1_0085,126.18
1_00_01,E1_0086,126.32
1_00_01,E1_0087,126.41
1_00_01,E1_0088,126.47
1_00_01,E1_0089,126.55
1_00_01,E1_0090,126.6
1_00_01,E1_0091,126.63
1_00_01,E1_0092,126.66
1_00_01,E1_0093,126.69
1_00_01,E1_0094,126.72
1_00_01,E1_0095,126.74
1_00_01,E1_0096,126.77
1_00_01,E1_0097,126.78
1_00_01,E1_0098,126.82
1_00_01,E1_0099,126.82
1_00_01,E1_0100,126.83
1_00_01,E1_0101,126.82
1_00_01,E1_0102,126.82
1_00_01,E1_0103,126.81
1_00_01,E1_0104,126.79
1_00_01,E1_0105,126.77
1_00_01,E1_0106,126.75
1_00_01,E1_0107,126.72
1_00_01,E1_0108,126.69
1_00_01,E1_0109,126.67
1_00_01,E1_0110,126.64
1_00_01,E1_0111,126.61
1_00_01,E1_0112,126.55
1_00_01,E1_0113,126.5
1_00_01,E1_0114,126.44
1_00_01,E1_0115,126.34
1_00_01,E1_0116,126.25
1_00_01,E1_0117,126.11
1_00_01,E1_0118,125.82
1_00_01,E1_0119,125.79
1_00_01,E1_0120,125.72
1_00_01,E1_0121,125.65
1_00_01,E1_0122,125.58
1_00_01,E1_0123,125.49
1_00_01,E1_0124,125.36
1_00_01,E1_0125,125.22
1_00_01,E1_0126,125.05
1_00_01,E1_0127,124.83
1_00_01,E1_0128,124.7
1_00_01,E1_0129,124.62
1_00_01,E1_0130,124.51
1_00_01,E1_0131,124.35
1_00_01,E1_0132,124.18
1_00_01,E1_0133,123.92
1_00_01,E1_0134,123.74
1_00_01,E1_0135,123.64
1_00_01,E1_0136,123.52
1_00_01,E1_0137,123.36
1_00_01,E1_0138,123.15
1_00_01,E1_0139,122.86
1_00_01,E1_0140,122.7
1_00_01,E1_0141,122.59
1_00_01,E1_0142,122.45
1_00_01,E1_0143,122.21
1_00_01,E1_0144,121.94
1_00_01,E1_0145,121.73
1_00_01,E1_0146,121.6
1_00_01,E1_0147,121.42
1_00_01,E1_0148,121.2
1_00_01,E1_0149,120.88
1_00_01,E1_0150,120.68
1_00_01,E1_0151,120.54
1_00_01,E1_0152,120.33
1_00_01,E1_0153,120.0
1_00_01,E1_0154,119.75
1_00_01,E1_0155,119.59
1_00_01,E1_0156,119.39
1_00_01,E1_0157,119.1
1_00_01,E1_0158,118.77
1_00_01,E1_0159,118.59
1_00_01,E1_0160,118.4
1_00_01,E1_0161,118.05
1_00_01,E1_0162,117.74
1_00_01,E1_0163,117.56
1_00_01,E1_0164,117.3
1_00_01,E1_0165,116.9
1_00_01,E1_0166,116.66
1_00_01,E1_0167,116.45
1_00_01,E1_0168,116.1
1_00_01,E1_0169,115.74
1_00_01,E1_0170,115.53
1_00_01,E1_0171,115.24
1_00_01,E1_0172,114.8
1_00_01,E1_0173,114.59
1_00_01,E1_0174,114.31
1_00_01,E1_0175,113.84
1_00_01,E1_0176,113.6
1_00_01,E1_0177,113.32
1_00_01,E1_0178,112.87
1_00_01,E1_0179,112.6
1_00_01,E1_0180,112.29
1_00_01,E1_0181,111.84
1_00_01,E1_0182,111.57
1_00_01,E1_0183,111.28
1_00_01,E1_0184,110.81
1_00_01,E1_0185,110.55
1_00_01,E1_0186,110.23
1_00_01,E1_0187,109.75
1_00_01,E1_0188,109.51
1_00_01,E1_0189,109.14
1_00_01,E1_0190,108.74
1_00_01,E1_0191,108.48
1_00_01,E1_0192,108.17
1_00_01,E1_0193,108.54
1_00_01,E1_0194,190.61
1_00_01,E1_0195,122.02
1_00_01,E1_0196,106.68
1_00_01,E1_0197,106.37
1_00_01,E1_0198,105.86
1_00_01,E1_0199,105.54
1_00_01,E1_0200,105.17
1_00_01,E1_0201,104.73
1_00_01,E1_0202,104.44
1_00_01,E1_0203,104.01
1_00_01,E1_0204,103.65
1_00_01,E1_0205,103.34
1_00_01,E1_0206,102.83
1_00_01,E1_0207,102.54
1_00_01,E1_0208,102.2
1_00_01,E1_0209,101.72
1_00_01,E1_0210,101.46
1_00_01,E1_0211,101.01
1_00_01,E1_0212,100.64
1_00_01,E1_0213,100.35
1_00_01,E1_0214,99.85
1_00_01,E1_0215,99.55
1_00_01,E1_0216,99.2
1_00_01,E1_0217,98.75
1_00_01,E1_0218,98.45
