File,Area,Data
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0000,100.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0001,100.68
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0002,100.72
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0003,100.75
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0004,100.79
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0005,100.84
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0006,100.88
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0007,100.95
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0008,100.98
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0009,101.08
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0010,101.20
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0011,101.26
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0012,101.34
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0013,101.36
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0014,101.41
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0015,101.48
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0016,101.53
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0017,101.57
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0018,101.61
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0019,101.63
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0020,101.65
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0021,101.69
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0022,101.72
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0023,101.76
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0024,101.80
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0025,101.84
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0026,101.92
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0027,101.99
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0028,102.04
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0029,102.16
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0030,102.21
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0031,102.30
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0032,102.34
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0033,102.41
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0034,102.45
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0035,102.47
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0036,102.51
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0037,102.54
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0038,102.56
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0039,102.60
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0040,102.61
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0041,102.62
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0042,102.64
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0043,102.65
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0044,102.65
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0045,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0046,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0047,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0048,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0049,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0050,102.67
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0051,102.67
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0052,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0053,102.67
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0054,102.67
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0055,102.67
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0056,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0057,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0058,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0059,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0060,102.66
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0061,102.65
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0062,102.64
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0063,102.64
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0064,102.63
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0065,102.63
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0066,102.62
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0067,102.61
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0068,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0069,102.61
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0070,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0071,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0072,102.58
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0073,102.60
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0074,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0075,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0076,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0077,102.58
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0078,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0079,102.58
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0080,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0081,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0082,102.60
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0083,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0084,102.58
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0085,102.60
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0086,102.60
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0087,102.60
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0088,102.60
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0089,102.60
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0090,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0091,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0092,102.59
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0093,102.58
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0094,102.58
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0095,102.57
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0096,102.55
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0097,102.54
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0098,102.53
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0099,102.50
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0100,102.47
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0101,102.46
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0102,102.43
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0103,102.38
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0104,102.34
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0105,102.29
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0106,102.23
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0107,102.16
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0108,102.06
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0109,101.99
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0110,101.93
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0111,101.85
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0112,101.77
data/偏心データまとめ_20241120\102_Bare-Si_EBR-5mm\01-151833_B2_B_B35_Slot01_Side1,A1_0113,101.74
