File,Area,Data
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0000,100.81
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0001,100.92
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0002,101.04
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0003,101.19
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0004,101.35
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0005,101.42
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0006,101.50
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0007,101.56
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0008,101.62
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0009,101.66
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0010,101.69
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0011,101.73
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0012,101.78
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0013,101.86
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0014,101.90
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0015,101.98
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0016,102.10
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0017,102.16
data/偏心データまとめ_20241120\104_Bare-Si_EBR+EEW\02-155751_B2_B_B21_Slot01_Side1,A1_0018,102.25
