File,Area,Data
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0000,93.48
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0001,93.52
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0002,93.57
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0003,93.61
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0004,93.64
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0005,93.66
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0006,93.70
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0007,93.76
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0008,93.82
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0009,93.94
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0010,93.94
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0011,94.25
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0012,94.28
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0013,94.39
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0014,94.44
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0015,94.52
data/偏心データまとめ_20241120\106_Bare-Si_残膜-裏面残渣_EBR-5mm\05-180857_B2_B_B21_Slot01_Side1,A1_0016,94.60
