File,Area,Data
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0000,89.65
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0001,89.66
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0002,89.66
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0003,89.65
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0004,89.67
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0005,89.67
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0006,89.68
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0007,89.68
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0008,89.68
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0009,89.69
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0010,89.76
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0011,89.69
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0012,89.71
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0013,89.71
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0014,89.72
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0015,89.73
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0016,89.73
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0017,89.75
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0018,89.76
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0019,89.78
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0020,89.80
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0021,89.82
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0022,89.83
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0023,89.85
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0024,89.87
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0025,89.91
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0026,89.98
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0027,90.02
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0028,90.08
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0029,90.15
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0030,90.20
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0031,90.29
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0032,90.36
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0033,90.44
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0034,90.50
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\01-153824_B2_B_B21_Slot01_Side-recipe59,A1_0035,90.56
