File,Area,Data
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0000,95.66
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0001,95.66
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0002,95.67
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0003,95.69
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0004,95.70
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0005,95.73
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0006,95.75
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0007,95.78
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0008,95.81
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0009,95.85
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0010,95.91
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0011,95.98
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0012,96.08
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0013,96.22
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0014,96.29
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0015,96.37
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0016,96.45
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0017,96.51
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0018,96.56
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0019,96.62
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0020,96.65
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0021,96.68
data/偏心データまとめ_20241120\109_Bare-Si_膜境界不良_EBR-5mm\05-160128_B2_B_B21_Slot01_Side1-recipe63,A1_0022,96.71
