File,Area,Data
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0000,97.64
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0001,97.65
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0002,97.67
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0003,97.70
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0004,97.73
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0005,97.76
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0006,97.81
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0007,97.86
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0008,97.94
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0009,98.02
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0010,98.11
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0011,98.22
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0012,98.27
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0013,98.35
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\153729_B2_B_B35_Slot01_Side1,A1_0014,98.42
