File,Area,Data
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0000,94.58
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0001,94.62
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0002,94.65
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0003,94.69
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0004,94.73
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0005,94.80
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0006,94.88
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0007,95.01
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0008,95.15
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0009,95.25
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0010,95.35
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0011,95.43
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0012,95.49
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0013,95.54
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0014,95.60
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0015,95.63
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0016,95.65
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0017,95.67
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0018,95.71
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0019,95.75
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0020,95.80
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0021,95.86
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0022,95.96
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0023,96.03
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0024,96.16
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0025,96.24
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0026,96.30
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0027,96.37
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0028,96.42
data/偏心データまとめ_20241120\111_Bare-Si_ヒゲ_EBR-2mm\No45_140544_B2_B_B21_Slot01_Side1,A1_0029,96.48
