File,Area,Data
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0000,91.17
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0001,91.27
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0002,91.33
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0003,91.38
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0004,91.44
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0005,91.50
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0006,91.54
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0007,91.57
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0008,91.60
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0009,91.62
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0010,91.66
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0011,91.67
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0012,91.70
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0013,91.72
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0014,91.77
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0015,91.81
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0016,91.87
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0017,91.96
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0018,92.04
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0019,92.17
data/偏心データまとめ_20241120\112_Bare-Si_ヒゲ_EBR-5mm\04-152854_B2_B_B21_Slot01_Side1,A1_0020,92.24
