File,Area,Data
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0000,93.76
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0001,94.23
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0002,94.61
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0003,94.82
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0004,95.33
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0005,95.66
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0006,95.93
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0007,96.47
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0008,96.70
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0009,97.09
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0010,97.55
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0011,97.76
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0012,98.22
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0013,98.61
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0014,98.82
data/偏心データまとめ_20241120\114_Bare-Si_タイガーストライプ_EBR-2mm\1600rpm-145707_B2_B_B35_Slot01_Side1,A1_0015,99.33
