File,Area,Data
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0000,92.92
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0001,93.08
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0002,93.24
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0003,93.37
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0004,93.45
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0005,93.54
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0006,93.61
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0007,93.65
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0008,93.71
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0009,93.77
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0010,93.84
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0011,93.92
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0012,94.06
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0013,94.19
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0014,94.32
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0015,94.40
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0016,94.50
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0017,94.56
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0018,94.62
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0019,94.67
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0020,94.70
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0021,94.75
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0022,94.79
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0023,94.85
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0024,94.94
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0025,95.06
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0026,95.12
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0027,95.27
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0028,95.36
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0029,95.44
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0030,95.53
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0031,95.60
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0032,95.64
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0033,95.68
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0034,95.73
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0035,95.82
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0036,95.90
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0037,95.98
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0038,96.16
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0039,96.29
data/偏心データまとめ_20241120\115_Bare-Si_コメット_EBR-2mm\01-190021_B2_B_B21_Slot01_Side1,A1_0040,96.37
