File,Area,Data
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0000,106.57
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0001,106.81
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0002,107.26
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0003,107.67
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0004,108.00
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0005,108.40
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0006,108.67
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0007,108.87
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0008,109.39
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0009,109.68
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0010,109.95
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0011,110.43
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0012,110.73
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0013,111.02
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0014,111.56
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0015,111.75
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0016,111.97
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0017,112.48
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0018,112.70
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0019,126.30
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0020,113.50
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0021,113.71
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0022,114.01
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0023,114.49
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0024,114.71
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0025,115.00
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0026,115.48
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0027,115.72
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0028,116.00
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0029,116.46
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0030,116.67
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0031,116.83
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0032,117.42
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0033,117.68
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0034,117.86
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0035,118.28
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0036,118.63
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0037,118.73
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0038,119.10
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0039,119.50
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0040,119.67
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0041,119.84
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0042,120.30
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0043,120.58
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0044,120.77
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0045,121.08
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0046,121.39
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0047,121.61
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0048,121.84
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0049,122.12
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0050,122.35
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0051,122.61
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0052,122.71
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0053,122.91
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0054,123.20
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0055,123.46
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0056,123.63
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0057,123.72
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0058,123.85
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0059,124.12
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0060,124.40
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0061,124.58
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0062,124.67
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0063,124.75
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0064,124.86
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0065,125.00
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0066,125.21
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0067,125.37
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0068,125.51
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0069,125.60
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0070,125.67
data/偏心データまとめ_20241120\200_パターン-S_膜なし\pslot04-182528_B2_B_B35_Slot01_Side1,A1_0071,125.74
