File,Area,Data
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0000,102.76
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0001,102.79
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0002,102.85
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0003,102.88
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0004,102.95
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0005,103.00
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0006,103.14
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0007,103.17
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0008,103.29
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0009,103.40
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0010,103.50
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0011,103.60
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0012,103.66
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0013,103.71
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0014,103.76
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0015,103.94
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0016,111.52
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0017,111.51
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0018,111.30
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0019,111.31
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0020,111.14
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0021,110.94
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0022,110.72
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0023,104.62
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0024,110.59
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0025,110.47
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0026,104.69
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0027,104.74
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0028,104.82
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0029,104.86
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0030,104.85
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0031,110.34
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0032,110.31
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0033,110.23
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0034,104.89
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0035,110.41
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0036,105.03
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0037,105.00
data/偏心データまとめ_20241120\202_パターン-S_EBR-5mm\pslot02-181551_B2_B_B21_Slot01_Side1,A1_0038,110.47
