File,Area,Data
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0000,100.71
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0001,101.05
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0002,100.10
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0003,100.18
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0004,100.16
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0005,100.51
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0006,100.08
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0007,99.68
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0008,99.25
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0009,99.60
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0010,99.48
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0011,100.24
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0012,100.64
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0013,95.87
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0014,100.35
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0015,100.57
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0016,100.62
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0017,101.14
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0018,101.03
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0019,101.46
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0020,100.08
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0021,101.79
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0022,100.70
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0023,101.24
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0024,100.71
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0025,96.82
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0026,101.27
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0027,101.60
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0028,101.13
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0029,101.98
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0030,101.16
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0031,101.55
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0032,101.56
data/偏心データまとめ_20241120\209_パターン-S_膜境界不良_EBR-5mm\pslot05-143208_B2_B_B21_Slot01_Side1-recipe56,A1_0033,101.55
