File,Area,Data
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0000,95.86
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0001,95.92
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0002,95.96
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0003,96.07
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0004,100.94
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0005,101.44
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0006,100.76
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0007,98.37
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0008,98.68
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0009,100.91
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0010,101.73
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0011,103.59
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0012,96.89
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0013,101.96
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0014,101.00
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0015,102.03
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0016,101.67
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0017,97.40
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0018,97.58
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0019,98.01
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0020,104.87
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0021,98.31
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0022,103.17
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0023,103.79
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0024,102.79
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0025,102.24
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0026,99.58
data/偏心データまとめ_20241120\212_パターン-S_ヒゲ_EBR-5mm\pslot08-152137_B2_B_B21_Slot01_Side1-recipe53,A1_0027,98.32
