画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-01-01-A1-0000-O,,●,●,2,2024/11/10_20:13:00,W.K.,2024/11/10_20:13:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0000-I,,●,●,2,2024/11/10_20:13:02,W.K.,2024/11/10_20:13:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0001-O,,●,●,2,2024/11/10_20:13:03,W.K.,2024/11/10_20:13:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0001-I,,●,●,2,2024/11/10_20:13:04,W.K.,2024/11/10_20:13:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0002-O,,●,●,2,2024/11/10_20:13:05,W.K.,2024/11/10_20:13:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0002-I,,●,●,2,2024/11/10_20:13:06,W.K.,2024/11/10_20:13:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0003-O,,●,●,1,2024/11/07_01:07:46,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0003-I,,●,●,1,2024/11/07_02:00:45,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0004-O,,●,●,1,2024/11/07_01:07:48,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0004-I,,●,●,1,2024/11/07_02:00:46,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0005-O,,●,●,1,2024/11/07_01:07:50,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0005-I,,●,●,1,2024/11/07_02:00:47,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0006-O,,●,●,1,2024/11/07_01:07:53,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0006-I,,●,●,1,2024/11/07_02:00:49,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0007-O,,●,●,1,2024/11/07_01:08:00,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0007-I,,●,●,1,2024/11/07_02:00:50,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0008-O,,●,●,1,2024/11/07_01:08:02,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0008-I,,●,●,1,2024/11/07_02:00:52,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0009-O,,●,●,1,2024/11/07_01:08:04,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0009-I,,●,●,1,2024/11/07_02:00:53,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0010-O,,●,●,1,2024/11/07_01:08:12,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0010-I,,●,●,1,2024/11/07_02:00:54,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0011-O,,●,●,1,2024/11/07_01:08:14,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0011-I,,●,●,1,2024/11/07_02:00:56,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0012-O,,●,●,1,2024/11/07_01:08:18,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0012-I,,●,●,1,2024/11/07_02:00:57,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0134-O,,●,●,1,2024/11/07_01:08:20,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0134-I,,●,●,1,2024/11/07_02:00:59,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0135-O,,●,●,1,2024/11/07_01:08:22,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0135-I,,●,●,1,2024/11/07_02:01:00,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0136-O,,●,●,1,2024/11/07_01:08:29,W.K.,2024/11/07_01:58:48,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
1-01-01-A1-0136-I,,●,●,1,2024/11/07_02:01:02,W.K.,2024/11/07_02:11:28,●,,,,,,,,,,,,,,,,0:正常,101,正常,0:正常
