画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-01-01-A1-0179-O,,●,●,1,2024/11/07_01:13:28,W.K.,2024/11/07_01:58:48,,●,,,,,,,,,,,,,,,1:汚れ,101,正常,0:正常
1-01-01-A1-0185-O,,●,●,1,2024/11/07_01:14:36,W.K.,2024/11/07_01:58:48,,●,,,,,,,,,,,,,,,1:汚れ,101,正常,0:正常
1-01-01-A1-0188-O,,●,●,3,2024/11/07_01:55:07,W.K.,2024/11/07_01:58:48,,●,,,,,,,,,,,,,,,1:汚れ,101,正常,0:正常
1-01-01-A1-0197-O,,●,●,3,2024/11/07_01:55:30,W.K.,2024/11/07_01:58:48,,●,,,,,,,,,,,,,,,1:汚れ,101,正常,0:正常
1-01-01-A1-0198-O,,●,●,1,2024/11/07_01:24:32,W.K.,2024/11/07_01:58:48,,●,,,,,,,,,,,,,,,1:汚れ,101,正常,0:正常
1-01-01-A1-0203-I,,●,●,1,2024/11/07_02:03:16,W.K.,2024/11/07_02:11:28,,●,,,,,,,,,,,,,,,1:汚れ,101,正常,0:正常
1-01-01-A1-0204-O,,●,●,3,2024/11/07_01:55:52,W.K.,2024/11/07_01:58:48,,●,,,,,,,,,,,,,,AB面境界の上側に線上の汚れ？,1:汚れ,101,正常,0:正常
1-01-01-A1-0204-I,,●,●,1,2024/11/07_02:03:19,W.K.,2024/11/07_02:11:28,,●,,,,,,,,,,,,,,,1:汚れ,101,正常,0:正常
1-01-01-A1-0207-O,,●,●,1,2024/11/07_01:28:44,W.K.,2024/11/07_01:58:48,,●,,,,,,,,,,,,,,,1:汚れ,101,正常,0:正常
1-01-01-A1-0208-O,,●,●,1,2024/11/07_01:28:47,W.K.,2024/11/07_01:58:48,,●,,,,,,,,,,,,,,,1:汚れ,101,正常,0:正常
1-01-01-A1-0208-I,,●,●,1,2024/11/07_02:03:29,W.K.,2024/11/07_02:11:28,,●,,,,,,,,,,,,,,,1:汚れ,101,正常,0:正常
