画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-15-01-A1-0089-I,,●,●,2,2024/12/10_13:24:20,M.S.,2024/12/10_13:52:11,,●,,,,,,,,,●,,,,,,10:コメット,115,コメット,10:コメット
1-15-01-A1-0090-I,,●,●,1,2024/11/26_12:10:18,R.S.,2024/11/26_12:20:58,,,,,,,,,,,●,,,,,,10:コメット,115,コメット,10:コメット
1-15-01-A1-0091-O,,●,●,2,2024/11/26_10:53:27,R.S.,2024/11/26_11:25:38,,,,,,,,,,,●,,,,,,10:コメット,115,コメット,10:コメット
1-15-01-A1-0091-I,,●,●,1,2024/11/26_12:10:19,R.S.,2024/11/26_12:20:58,,,,,,,,,,,●,,,,,,10:コメット,115,コメット,10:コメット
1-15-01-A1-0092-I,,●,●,1,2024/11/26_12:10:20,R.S.,2024/11/26_12:20:58,,,,,,,,,,,●,,,,,,10:コメット,115,コメット,10:コメット
1-15-01-A1-0093-I,,●,●,1,2024/11/26_12:10:22,R.S.,2024/11/26_12:20:58,,,,,,,,,,,●,,,,,,10:コメット,115,コメット,10:コメット
1-15-01-A1-0094-I,,●,●,2,2024/12/10_13:25:47,M.S.,2024/12/10_13:52:11,,●,,,,,,,,,●,,,,,,10:コメット,115,コメット,10:コメット
1-15-01-A1-0095-I,,●,●,2,2024/12/10_13:25:50,M.S.,2024/12/10_13:52:11,,●,,,,,,,,,●,,,,,,10:コメット,115,コメット,10:コメット
1-15-01-A1-0096-O,,●,●,4,2024/12/16_16:47:19,M.S.,2024/12/16_17:15:33,,,,,,,,,,,●,,,,,,10:コメット,115,コメット,10:コメット
1-15-01-A1-0096-I,,●,●,2,2024/12/10_13:25:53,M.S.,2024/12/10_13:52:11,,●,,,,,,,,,●,,,,,,10:コメット,115,コメット,10:コメット
