画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-14-04-A1-0106-I,,●,●,2,2024/11/25_16:07:41,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0107-I,,●,●,1,2024/11/25_16:02:14,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0108-I,,●,●,1,2024/11/25_16:02:17,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0109-I,,●,●,1,2024/11/25_16:02:21,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0110-O,,●,●,3,2024/11/25_15:50:22,R.S.,2024/11/25_16:00:54,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0110-I,,●,●,1,2024/11/25_16:02:25,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0111-I,,●,●,1,2024/11/25_16:02:29,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0112-O,,●,●,6,2024/12/09_15:42:29,W.K.,2024/12/09_16:08:01,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0112-I,,●,●,1,2024/11/25_16:02:32,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0113-I,,●,●,1,2024/11/25_16:02:35,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0114-O,,●,●,3,2024/11/25_15:51:44,R.S.,2024/11/25_16:00:54,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0115-O,,●,●,4,2024/11/26_10:22:30,R.S.,2024/11/26_10:22:46,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0116-O,,●,●,2,2024/11/26_10:15:16,R.S.,2024/11/26_10:21:09,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0117-O,,●,●,3,2024/11/25_15:52:00,R.S.,2024/11/25_16:00:54,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0118-O,,●,●,2,2024/11/26_10:15:21,R.S.,2024/11/26_10:21:09,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0118-I,,●,●,2,2024/11/25_16:03:18,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0119-O,,●,●,2,2024/11/26_10:13:56,R.S.,2024/11/26_10:21:09,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0119-I,,●,●,2,2024/11/25_16:03:20,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0120-O,,●,●,2,2024/11/26_10:13:58,R.S.,2024/11/26_10:21:09,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0120-I,,●,●,2,2024/11/25_16:03:22,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0121-O,,●,●,2,2024/11/26_10:13:59,R.S.,2024/11/26_10:21:09,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0121-I,,●,●,1,2024/11/25_16:03:26,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0122-O,,●,●,2,2024/11/26_10:14:00,R.S.,2024/11/26_10:21:09,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0122-I,,●,●,1,2024/11/25_16:03:28,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0124-I,,●,●,2,2024/11/25_16:08:18,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0125-O,,●,●,4,2024/12/17_11:01:24,M.S.,2024/12/17_13:14:26,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0125-I,,●,●,2,2024/11/25_16:08:20,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0126-I,,●,●,1,2024/11/25_16:08:22,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0127-O,,●,●,4,2024/12/16_16:39:05,M.S.,2024/12/16_17:15:33,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
1-14-04-A1-0127-I,,●,●,1,2024/11/25_16:08:24,R.S.,2024/11/25_16:20:07,,,,,,,,,,,,●,,,,,11:タイガーストライプ,114,タイガーストライプ,11:タイガーストライプ
