画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-02-01-E1-0164-O,,●,●,1,2024/11/14_00:49:37,W.K.,2024/11/14_01:05:19,,,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
1-02-01-E1-0404-O,,●,●,1,2024/11/14_01:01:28,W.K.,2024/11/14_01:05:19,,●,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
1-02-02-A1-0212-O,,●,●,2,2024/11/14_00:20:46,W.K.,2024/11/14_00:32:31,,●,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
1-02-02-C1-0362,,●,●,1,2024/11/13_13:22:45,M.S.,2024/11/13_14:19:38,,●,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
1-02-02-E1-0121-O,,●,●,2,2024/11/14_00:14:56,W.K.,2024/11/14_00:32:31,,●,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
1-02-02-E1-0122-O,,●,●,2,2024/11/14_00:14:59,W.K.,2024/11/14_00:32:31,,●,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
1-02-02-E1-0123-O,,●,●,2,2024/11/14_00:15:04,W.K.,2024/11/14_00:32:31,,●,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
1-02-02-E1-0160-I,,●,●,2,2024/11/14_00:29:56,W.K.,2024/11/14_00:32:31,,●,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
1-02-02-E1-0161-I,,●,●,2,2024/11/14_00:29:58,W.K.,2024/11/14_00:32:31,,●,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
1-02-02-E1-0184-O,,●,●,2,2024/11/14_00:25:08,W.K.,2024/11/14_00:32:31,,●,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
1-02-02-E1-0185-O,,●,●,2,2024/11/14_00:25:10,W.K.,2024/11/14_00:32:31,,●,●,,,,,,,,,,,,,,2:擦り跡,102,正常,0:正常
