画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-01-01-C1-0163,,●,●,2,2024/11/14_01:14:32,W.K.,2024/11/14_01:15:42,,●,,,●,,,,,,,,,,,,4:打痕、傷,101,正常,0:正常
1-02-02-E1-0400-O,,●,●,2,2024/11/14_00:28:31,W.K.,2024/11/14_00:32:31,,●,●,,●,,,,,,,,,,,,4:打痕、傷,102,正常,0:正常
1-05-02-E1-0116-O,,●,●,2,2024/12/12_10:27:55,M.S.,2024/12/12_10:40:37,,●,,,●,,,●,,,,,,,,,4:打痕、傷,105,残渣,7:残渣
1-05-04-E1-0121-O,,●,●,1,2024/11/18_14:50:50,M.S.,2024/11/18_15:37:51,,●,●,,●,,,,,,,,,,,,4:打痕、傷,105,残渣,7:残渣
1-05-04-E1-0122-O,,●,●,1,2024/11/18_14:50:58,M.S.,2024/11/18_15:37:51,,●,●,,●,,,,,,,,,,,,4:打痕、傷,105,残渣,7:残渣
1-05-04-E1-0123-O,,●,●,1,2024/11/18_14:51:05,M.S.,2024/11/18_15:37:51,,●,●,,●,,,,,,,,,,,,4:打痕、傷,105,残渣,7:残渣
1-06-01-E1-0201-O,,●,●,1,2024/11/15_13:11:50,M.S.,2024/11/15_13:25:52,,●,,,●,,,●,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-01-E1-0202-O,,●,●,1,2024/11/15_13:11:58,M.S.,2024/11/15_13:25:52,,●,●,,●,,,●,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-01-E1-0203-O,,●,●,1,2024/11/15_13:12:06,M.S.,2024/11/15_13:25:52,,,●,,●,,,●,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-01-E1-0374-O,,●,●,1,2024/11/15_13:15:41,M.S.,2024/11/15_13:25:52,,,●,,●,,,●,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-01-E1-0375-O,,●,●,1,2024/11/15_13:15:45,M.S.,2024/11/15_13:25:52,,,●,,●,,,●,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-01-E1-0376-O,,●,●,1,2024/11/15_13:15:52,M.S.,2024/11/15_13:25:52,,,●,,●,,,●,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-01-E1-0399-O,,●,●,1,2024/11/15_13:18:28,M.S.,2024/11/15_13:25:52,,●,●,,●,,,,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-02-E1-0121-O,,●,●,1,2024/11/18_13:03:52,M.S.,2024/11/18_13:22:47,,●,●,,●,,,,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-02-E1-0122-O,,●,●,2,2024/12/12_14:29:03,M.S.,2024/12/12_14:34:01,,●,●,,●,,,●,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-02-E1-0281-O,,●,●,1,2024/11/18_13:06:20,M.S.,2024/11/18_13:22:47,,●,,,●,,,,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-02-E1-0282-O,,●,●,2,2024/11/18_13:07:04,M.S.,2024/11/18_13:22:47,,●,,,●,,,,,,,,,,,不明物？,4:打痕、傷,106,残渣,7:残渣
1-06-02-E1-0295-I,,●,●,3,2024/12/12_14:42:53,M.S.,2024/12/12_14:51:18,,●,●,,●,,,,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-06-02-E1-0296-I,,●,●,2,2024/12/12_14:42:56,M.S.,2024/12/12_14:51:18,,●,●,,●,,,,,,,,,,,,4:打痕、傷,106,残渣,7:残渣
1-08-02-A1-0371-O,,●,●,2,2025/01/10_10:58:07,M.S.,2025/01/10_10:58:39,,●,,,●,,,,,●,,,,,,,4:打痕、傷,108,膜境界不良,9:膜境界不良
1-08-02-A1-0372-O,,●,●,2,2025/01/10_10:58:18,M.S.,2025/01/10_10:58:39,,,,,●,,,,,●,,,,,,,4:打痕、傷,108,膜境界不良,9:膜境界不良
