画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-01-02-A1-0234-I,,●,●,3,2024/11/14_01:29:53,W.K.,2024/11/14_01:31:57,,,,,,●,,,,,,,,,,大きいゴミ？,5:異物,101,正常,0:正常
1-01-02-A1-0235-I,,●,●,2,2024/11/12_17:59:47,W.K.,2024/11/12_18:36:26,,,,,,●,,,,,,,,,,,5:異物,101,正常,0:正常
1-02-01-C1-0438,,●,●,1,2024/11/12_01:02:42,W.K.,2024/11/12_01:11:43,,,,,,●,,,,,,,,,,,5:異物,102,正常,0:正常
1-02-01-C1-0439,,●,●,2,2024/11/14_01:08:15,W.K.,2024/11/14_01:10:08,,●,,,,●,,,,,,,,,,,5:異物,102,正常,0:正常
1-02-02-A1-0166-O,,●,●,1,2024/11/13_10:04:26,M.S.,2024/11/13_10:29:03,,●,,,,●,,,,,,,,,,エッジに付着物？,5:異物,102,正常,0:正常
1-02-02-A1-0178-O,,●,●,1,2024/11/13_10:08:29,M.S.,2024/11/13_10:29:03,,●,,,,●,,,,,,,,,,,5:異物,102,正常,0:正常
1-02-02-A1-0344-O,,●,●,2,2024/11/14_00:21:09,W.K.,2024/11/14_00:32:31,,●,,,,●,,,,,,,,,,点状の汚れ多し,5:異物,102,正常,0:正常
1-02-02-E1-0165-O,,●,●,3,2024/11/14_00:30:17,W.K.,2024/11/14_00:32:31,,,,,,●,,,,,,,,,,,5:異物,102,正常,0:正常
1-02-02-E1-0166-O,,●,●,2,2024/11/14_00:30:04,W.K.,2024/11/14_00:32:31,,●,,,,●,,,,,,,,,,,5:異物,102,正常,0:正常
1-05-02-E1-0095-O,,●,●,3,2024/11/18_09:31:54,M.S.,2024/11/18_09:44:33,,●,,,,●,,,,,,,,,,エッジ端のふくらみは付着物？,5:異物,105,残渣,7:残渣
1-05-02-E1-0096-O,,●,●,2,2024/11/18_09:32:10,M.S.,2024/11/18_09:44:33,,●,,,,●,,,,,,,,,,エッジ端のふくらみは付着物？,5:異物,105,残渣,7:残渣
1-05-02-E1-0101-O,,●,●,1,2024/11/18_09:32:21,M.S.,2024/11/18_09:44:33,,●,,,,●,,,,,,,,,,エッジ端のふくらみは付着物？,5:異物,105,残渣,7:残渣
1-05-02-E1-0102-O,,●,●,1,2024/11/18_09:32:28,M.S.,2024/11/18_09:44:33,,●,,,,●,,,,,,,,,,エッジ端のふくらみは付着物？,5:異物,105,残渣,7:残渣
1-09-01-A1-0142-O,,●,●,4,2025/01/14_09:47:41,M.S.,2025/01/14_10:00:41,,●,,,,●,,,,,,,,,,,5:異物,109,膜境界不良,9:膜境界不良
1-09-02-A1-0155-O,,●,●,2,2024/12/13_10:22:13,M.S.,2024/12/13_10:38:23,,,,,,●,,,,,,,,,,,5:異物,109,膜境界不良,9:膜境界不良
1-09-02-A1-0156-O,,●,●,2,2024/12/13_10:22:15,M.S.,2024/12/13_10:38:23,,,,,,●,,,,,,,,,,,5:異物,109,膜境界不良,9:膜境界不良
1-09-02-A1-0320-O,,●,●,2,2024/12/13_10:31:58,M.S.,2024/12/13_10:38:23,,●,,,,●,,,,,,,,,,,5:異物,109,膜境界不良,9:膜境界不良
1-09-02-A1-0321-O,,●,●,2,2024/12/13_10:32:05,M.S.,2024/12/13_10:38:23,,●,,,,●,,,,,,,,,,,5:異物,109,膜境界不良,9:膜境界不良
1-12-02-A1-0119-O,,●,●,2,2024/12/13_17:05:11,M.S.,2024/12/13_17:10:28,,●,,,,●,,,,,,,,,,,5:異物,112,ヒゲ,8:ヒゲ
1-12-02-A1-0120-O,,●,●,2,2024/12/13_17:05:17,M.S.,2024/12/13_17:10:28,,●,,,,●,,,,,,,,,,,5:異物,112,ヒゲ,8:ヒゲ
1-12-02-A1-0121-O,,●,●,2,2024/12/13_17:05:21,M.S.,2024/12/13_17:10:28,,●,,,,●,,,,,,,,,,,5:異物,112,ヒゲ,8:ヒゲ
