画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-05-01-C1-0112,,●,●,1,2024/11/15_10:10:21,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0113,,●,●,1,2024/11/15_10:10:50,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0117,,●,●,1,2024/11/15_10:11:14,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0118,,●,●,1,2024/11/15_10:11:16,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0119,,●,●,1,2024/11/15_10:11:17,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0120,,●,●,1,2024/11/15_10:11:19,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0121,,●,●,1,2024/11/15_10:11:20,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0122,,●,●,1,2024/11/15_10:11:22,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0123,,●,●,1,2024/11/15_10:11:24,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0124,,●,●,1,2024/11/15_10:11:26,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0125,,●,●,1,2024/11/15_10:11:28,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0126,,●,●,1,2024/11/15_10:11:30,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0127,,●,●,1,2024/11/15_10:11:31,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0128,,●,●,1,2024/11/15_10:11:33,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0129,,●,●,1,2024/11/15_10:11:35,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0130,,●,●,1,2024/11/15_10:11:36,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0131,,●,●,1,2024/11/15_10:11:38,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0132,,●,●,1,2024/11/15_10:11:40,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0133,,●,●,1,2024/11/15_10:11:41,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0134,,●,●,1,2024/11/15_10:11:43,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0135,,●,●,1,2024/11/15_10:11:46,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0136,,●,●,1,2024/11/15_10:11:48,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0137,,●,●,1,2024/11/15_10:11:49,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0138,,●,●,1,2024/11/15_10:11:51,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0139,,●,●,1,2024/11/15_10:11:53,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0140,,●,●,1,2024/11/15_10:11:55,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0141,,●,●,1,2024/11/15_10:11:57,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0142,,●,●,1,2024/11/15_10:12:00,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
1-05-01-C1-0143,,●,●,1,2024/11/15_10:12:02,M.S.,2024/11/15_10:55:34,,,,,,,,●,,,,,,,,,7:残渣,105,残渣,7:残渣
