画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
1-08-01-A1-0051-O,,●,●,1,2024/11/18_16:12:10,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0052-O,,●,●,1,2024/11/18_16:12:12,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0053-O,,●,●,1,2024/11/18_16:12:15,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0056-O,,●,●,1,2024/11/18_16:12:54,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0057-O,,●,●,2,2024/11/27_09:21:00,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0058-O,,●,●,1,2024/11/18_16:12:58,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0059-O,,●,●,4,2024/12/09_15:27:53,W.K.,2024/12/09_16:08:01,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0060-O,,●,●,4,2024/12/09_15:27:56,W.K.,2024/12/09_16:08:01,,●,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0063-O,,●,●,2,2024/11/27_09:21:54,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0064-O,,●,●,2,2024/11/27_09:22:03,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0065-O,,●,●,2,2024/11/27_09:22:06,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0067-O,,●,●,2,2024/11/27_09:22:13,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0068-O,,●,●,1,2024/11/18_16:14:06,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0069-O,,●,●,4,2024/12/09_15:28:55,W.K.,2024/12/09_16:08:01,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0070-O,,●,●,2,2024/12/09_15:30:23,W.K.,2024/12/09_16:08:01,,,,,,,,,,●,●,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0071-O,,●,●,4,2024/12/09_15:30:29,W.K.,2024/12/09_16:08:01,,●,,,,,,,,●,●,,,,,内側にコメットあり,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0072-O,,●,●,1,2024/11/18_16:15:48,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0073-O,,●,●,1,2024/11/18_16:15:51,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0074-O,,●,●,1,2024/11/18_16:15:54,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0075-O,,●,●,1,2024/11/18_16:15:56,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0076-O,,●,●,1,2024/11/18_16:15:59,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0078-O,,●,●,1,2024/11/18_16:16:31,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0079-O,,●,●,1,2024/11/18_16:16:34,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0080-O,,●,●,1,2024/11/18_16:16:37,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0081-O,,●,●,1,2024/11/18_16:16:39,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0082-O,,●,●,1,2024/11/18_16:16:42,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0083-O,,●,●,1,2024/11/18_16:16:51,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0084-O,,●,●,1,2024/11/18_16:16:54,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0085-O,,●,●,2,2024/11/18_16:17:01,M.S.,2024/11/18_16:49:45,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0086-O,,●,●,1,2024/11/18_16:17:04,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0087-O,,●,●,1,2024/11/18_16:17:07,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0088-O,,●,●,1,2024/11/18_16:17:10,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0089-O,,●,●,1,2024/11/18_16:17:12,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0090-O,,●,●,1,2024/11/18_16:17:15,M.S.,2024/11/18_16:49:45,,,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0091-O,,●,●,2,2024/11/27_09:25:04,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0092-O,,●,●,2,2024/11/27_09:25:07,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0093-O,,●,●,2,2024/11/27_09:25:10,M.S.,2024/11/27_10:56:34,,●,,,,,,,,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
1-08-01-A1-0094-O,,●,●,3,2024/12/12_14:57:13,M.S.,2024/12/12_15:21:00,,●,,,,,,,●,●,,,,,,,9:膜境界不良,108,膜境界不良,9:膜境界不良
