画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
2-00-01-A1-0000-O,,●,●,1,2024/11/29_11:05:31,M.S.,2024/11/29_14:29:20,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0000-I,,●,●,1,2024/11/29_17:05:56,M.S.,2024/11/29_17:27:14,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0001-O,,●,●,1,2024/11/29_11:05:36,M.S.,2024/11/29_14:29:20,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0001-I,,●,●,1,2024/11/29_17:06:11,M.S.,2024/11/29_17:27:14,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0002-O,,●,●,1,2024/11/29_11:05:42,M.S.,2024/11/29_14:29:20,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0002-I,,●,●,1,2024/11/29_17:10:16,M.S.,2024/11/29_17:27:14,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0003-O,,●,●,1,2024/11/29_11:05:46,M.S.,2024/11/29_14:29:20,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0003-I,,●,●,1,2024/11/29_17:10:19,M.S.,2024/11/29_17:27:14,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0004-O,,●,●,1,2024/11/29_11:05:51,M.S.,2024/11/29_14:29:20,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0004-I,,●,●,1,2024/11/29_17:10:22,M.S.,2024/11/29_17:27:14,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0005-O,,●,●,1,2024/11/29_11:07:54,M.S.,2024/11/29_14:29:20,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0005-I,,●,●,1,2024/11/29_17:10:31,M.S.,2024/11/29_17:27:14,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0006-O,,●,●,1,2024/11/29_11:07:58,M.S.,2024/11/29_14:29:20,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0006-I,,●,●,1,2024/11/29_17:10:34,M.S.,2024/11/29_17:27:14,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0007-O,,●,●,1,2024/11/29_11:08:01,M.S.,2024/11/29_14:29:20,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0007-I,,●,●,1,2024/11/29_17:10:41,M.S.,2024/11/29_17:27:14,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
2-00-01-A1-0008-O,,●,●,1,2024/11/29_11:08:04,M.S.,2024/11/29_14:29:20,●,,,,,,,,,,,,,,,,0:正常,200,正常,0:正常
