画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
2-00-01-A1-0147-O,,●,●,2,2024/12/16_10:06:40,M.S.,2024/12/16_10:29:42,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0161-O,,●,●,2,2024/12/06_15:25:50,W.K.,2024/12/06_15:30:43,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0182-O,,●,●,2,2024/11/29_11:15:19,M.S.,2024/11/29_14:29:20,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0183-O,,●,●,1,2024/11/29_11:15:22,M.S.,2024/11/29_14:29:20,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0205-O,,●,●,1,2024/11/29_11:16:55,M.S.,2024/11/29_14:29:20,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0206-O,,●,●,1,2024/11/29_11:16:57,M.S.,2024/11/29_14:29:20,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0211-O,,●,●,1,2024/11/29_11:17:56,M.S.,2024/11/29_14:29:20,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0212-O,,●,●,1,2024/11/29_11:17:58,M.S.,2024/11/29_14:29:20,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0214-O,,●,●,1,2024/11/29_11:18:14,M.S.,2024/11/29_14:29:20,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0384-O,,●,●,1,2024/11/29_11:24:19,M.S.,2024/11/29_14:29:20,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0399-O,,●,●,2,2024/12/06_15:29:07,W.K.,2024/12/06_15:30:43,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-A1-0413-O,,●,●,1,2024/11/29_11:27:00,M.S.,2024/11/29_14:29:20,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0000,,●,●,1,2024/12/02_09:26:39,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0001,,●,●,1,2024/12/02_09:26:43,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0002,,●,●,1,2024/12/02_09:26:48,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0003,,●,●,1,2024/12/02_09:26:57,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0004,,●,●,1,2024/12/02_09:27:05,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0005,,●,●,1,2024/12/02_09:27:07,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0006,,●,●,1,2024/12/02_09:27:10,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0007,,●,●,1,2024/12/02_09:27:13,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0008,,●,●,1,2024/12/02_09:27:17,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0009,,●,●,1,2024/12/02_09:27:21,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0010,,●,●,1,2024/12/02_09:27:24,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0011,,●,●,1,2024/12/02_09:27:27,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0012,,●,●,1,2024/12/02_09:27:32,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
2-00-01-C1-0013,,●,●,1,2024/12/02_09:27:35,R.S.,2024/12/02_09:28:14,,●,,,,,,,,,,,,,,,1:汚れ,200,正常,0:正常
