画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
2-01-01-A1-0230-O,,●,●,2,2024/12/02_10:54:08,M.S.,2024/12/02_11:04:43,,●,,,,,,,,,●,,,,,,10:コメット,201,正常,0:正常
2-01-01-E1-0460-I,,●,●,1,2024/12/02_13:25:38,M.S.,2024/12/06_16:52:30,,●,,,,,,,,,●,,,,,,10:コメット,201,正常,0:正常
2-02-01-A1-0072-I,,●,●,1,2024/12/02_14:10:33,M.S.,2024/12/02_14:40:01,,,,,,,,,,,●,,,,,擦り跡？,10:コメット,202,正常,0:正常
2-02-01-A1-0098-I,,●,●,1,2024/12/02_14:14:51,M.S.,2024/12/02_14:40:01,,,,,,,,,,,●,,,,,,10:コメット,202,正常,0:正常
2-02-01-A1-0103-I,,●,●,1,2024/12/02_14:15:15,M.S.,2024/12/02_14:40:01,,●,,,,,,,,,●,,,,,,10:コメット,202,正常,0:正常
2-02-01-A1-0110-I,,●,●,1,2024/12/02_14:15:36,M.S.,2024/12/02_14:40:01,,,,,,,,,,,●,,,,,,10:コメット,202,正常,0:正常
2-02-01-A1-0143-I,,●,●,2,2024/12/02_14:26:09,M.S.,2024/12/02_14:40:01,,●,,,,,,,,,●,,,,,,10:コメット,202,正常,0:正常
2-02-01-A1-0149-O,,●,●,2,2024/12/06_16:38:25,W.K.,2024/12/06_17:00:58,,,,,,,,,,,●,,,,,,10:コメット,202,正常,0:正常
2-02-01-A1-0151-I,,●,●,1,2024/12/02_14:27:00,M.S.,2024/12/02_14:40:01,,●,,,,,,,,,●,,,,,,10:コメット,202,正常,0:正常
2-02-01-A1-0152-I,,●,●,1,2024/12/02_14:27:04,M.S.,2024/12/02_14:40:01,,,,,,,,,,,●,,,,,,10:コメット,202,正常,0:正常
