画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
2-14-01-A1-0149-O,,●,●,1,2024/12/03_15:39:56,R.S.,2024/12/03_15:57:11,,●,,,,,,,,,●,●,●,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-01-A1-0150-O,,●,●,1,2024/12/03_15:40:21,R.S.,2024/12/03_15:57:11,,●,,,,,,,,,●,●,●,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-01-A1-0355-I,,●,●,1,2024/12/04_09:03:57,R.S.,2024/12/04_09:11:32,,●,,,,,,,,,,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0112-O,,●,●,1,2024/12/03_15:42:48,M.S.,2024/12/03_16:24:06,,,,,,,,,,,,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0112-I,,●,●,2,2024/12/04_13:21:31,M.S.,2024/12/04_13:51:32,,,,,,,,,,,,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0113-O,,●,●,1,2024/12/03_15:43:01,M.S.,2024/12/03_16:24:06,,,,,,,,,,,,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0113-I,,●,●,2,2024/12/04_12:54:03,M.S.,2024/12/04_13:51:32,,,,,,,,,,,,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0114-O,,●,●,1,2024/12/03_15:43:07,M.S.,2024/12/03_16:24:06,,●,,,,,,,,,,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0115-O,,●,●,1,2024/12/03_15:43:16,M.S.,2024/12/03_16:24:06,,●,,,,,,,,,●,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0115-I,,●,●,2,2024/12/04_12:54:12,M.S.,2024/12/04_13:51:32,,●,,,,,,,,,●,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0116-O,,●,●,1,2024/12/03_15:43:35,M.S.,2024/12/03_16:24:06,,●,,,,,,,,,●,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0116-I,,●,●,2,2024/12/04_12:54:14,M.S.,2024/12/04_13:51:32,,●,,,,,,,,,●,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0117-O,,●,●,1,2024/12/03_15:43:49,M.S.,2024/12/03_16:24:06,,●,,,,,,,,,,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
2-14-02-A1-0117-I,,●,●,2,2024/12/04_12:54:21,M.S.,2024/12/04_13:51:32,,●,,,,,,,,,●,●,,,,,11:タイガーストライプ,214,タイガーストライプ,11:タイガーストライプ
