画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
2-00-01-A1-0388-O,,●,●,2,2024/11/29_11:25:13,M.S.,2024/11/29_14:29:20,,,●,,,,,,●,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0389-O,,●,●,2,2024/11/29_11:25:05,M.S.,2024/11/29_14:29:20,,,●,,,,,,●,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0390-O,,●,●,1,2024/11/29_11:25:08,M.S.,2024/11/29_14:29:20,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0459-O,,●,●,2,2024/12/16_10:11:57,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0460-O,,●,●,2,2024/12/16_10:11:59,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0461-O,,●,●,2,2024/12/16_10:12:01,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0462-O,,●,●,2,2024/12/16_10:12:03,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0463-O,,●,●,2,2024/12/16_10:12:05,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0464-O,,●,●,2,2024/11/29_12:58:58,M.S.,2024/11/29_14:29:20,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0465-O,,●,●,1,2024/11/29_12:59:00,M.S.,2024/11/29_14:29:20,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0466-O,,●,●,2,2024/12/16_10:12:12,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0467-O,,●,●,2,2024/12/16_10:12:15,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0468-O,,●,●,2,2024/12/16_10:12:18,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0469-O,,●,●,2,2024/12/16_10:12:21,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0470-O,,●,●,2,2024/12/16_10:12:25,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0471-O,,●,●,2,2024/12/16_10:12:27,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0472-O,,●,●,2,2024/12/16_10:12:30,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0473-O,,●,●,2,2024/12/16_10:12:34,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0474-O,,●,●,2,2024/12/16_10:12:40,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0475-O,,●,●,2,2024/12/16_10:12:44,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-A1-0476-O,,●,●,2,2024/12/16_10:12:48,M.S.,2024/12/16_10:29:42,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0004-I,,●,●,1,2024/12/02_09:45:20,M.S.,2024/12/02_10:02:35,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0011-O,,●,●,2,2024/11/29_14:18:55,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0012-O,,●,●,2,2024/11/29_14:18:59,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0180-O,,●,●,1,2024/11/29_13:07:13,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0202-O,,●,●,2,2024/11/29_13:15:54,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0203-O,,●,●,1,2024/11/29_13:15:57,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0204-O,,●,●,1,2024/11/29_13:15:44,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0241-O,,●,●,2,2024/11/29_14:14:18,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0253-I,,●,●,2,2024/12/16_12:37:09,M.S.,2024/12/16_12:55:57,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0387-O,,●,●,1,2024/11/29_13:50:04,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0405-O,,●,●,2,2024/11/29_14:08:37,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0406-O,,●,●,1,2024/11/29_13:53:26,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0409-O,,●,●,2,2024/11/29_14:08:45,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0414-O,,●,●,2,2024/11/29_14:25:07,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0415-O,,●,●,2,2024/11/29_14:25:10,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0416-O,,●,●,2,2024/11/29_14:25:13,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0419-O,,●,●,2,2024/11/29_14:25:22,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0433-O,,●,●,2,2024/12/16_10:55:53,M.S.,2024/12/16_10:57:45,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0434-O,,●,●,2,2024/11/29_14:26:06,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0434-I,,●,●,2,2024/12/16_12:45:01,M.S.,2024/12/16_12:55:57,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0439-O,,●,●,1,2024/11/29_14:26:26,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0440-O,,●,●,1,2024/11/29_14:26:30,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0449-O,,●,●,1,2024/11/29_14:27:12,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0462-O,,●,●,1,2024/11/29_14:27:53,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-01-E1-0463-O,,●,●,1,2024/11/29_14:27:57,M.S.,2024/11/29_14:29:20,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0374-O,,●,●,2,2024/11/29_15:51:54,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0375-O,,●,●,2,2024/11/29_15:51:59,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0376-O,,●,●,2,2024/11/29_15:52:04,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0377-O,,●,●,2,2024/11/29_15:52:09,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0378-O,,●,●,2,2024/11/29_15:52:12,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0380-O,,●,●,1,2024/11/29_15:52:18,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0381-O,,●,●,1,2024/11/29_15:52:28,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0383-O,,●,●,1,2024/11/29_15:52:53,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0384-O,,●,●,1,2024/11/29_15:52:56,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0385-O,,●,●,1,2024/11/29_15:52:58,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-A1-0386-O,,●,●,1,2024/11/29_15:53:04,M.S.,2024/11/29_16:12:49,,,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-E1-0243-I,,●,●,1,2024/12/02_10:25:33,R.S.,2024/12/02_10:31:37,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-E1-0249-O,,●,●,1,2024/11/29_16:33:25,M.S.,2024/11/29_17:01:04,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-E1-0410-O,,●,●,1,2024/11/29_16:38:01,M.S.,2024/11/29_17:01:04,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-E1-0410-I,,●,●,2,2024/12/11_10:31:01,M.S.,2024/12/11_10:33:42,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-E1-0438-O,,●,●,1,2024/11/29_16:39:55,M.S.,2024/11/29_17:01:04,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
2-00-02-E1-0438-I,,●,●,2,2024/12/11_10:32:19,M.S.,2024/12/11_10:33:42,,●,●,,,,,,,,,,,,,,2:擦り跡,200,正常,0:正常
