画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
2-00-01-E1-0384-I,,●,●,1,2024/12/02_09:57:31,M.S.,2024/12/02_10:02:35,,●,,,●,,,,,,,,,,,,4:打痕、傷,200,正常,0:正常
2-00-01-E1-0471-I,,●,●,1,2024/12/02_10:01:58,M.S.,2024/12/02_10:02:35,,●,,,●,,,,,,,,,,,,4:打痕、傷,200,正常,0:正常
2-00-01-E1-0472-I,,●,●,1,2024/12/02_10:02:02,M.S.,2024/12/02_10:02:35,,●,,,●,,,,,,,,,,,,4:打痕、傷,200,正常,0:正常
2-01-01-E1-0001-I,,●,●,1,2024/12/02_12:58:14,M.S.,2024/12/06_16:52:30,,●,,,●,,,,,,,,,,,,4:打痕、傷,201,正常,0:正常
2-01-01-E1-0237-O,,●,●,2,2024/12/02_12:41:24,M.S.,2024/12/06_16:52:30,,●,,,●,,,,,,,,,,,,4:打痕、傷,201,正常,0:正常
2-01-01-E1-0238-O,,●,●,1,2024/12/02_12:41:19,M.S.,2024/12/06_16:52:30,,●,,,●,,,,,,,,,,,,4:打痕、傷,201,正常,0:正常
2-01-01-E1-0393-I,,●,●,2,2024/12/02_13:17:23,M.S.,2024/12/06_16:52:30,,●,,,●,,,,,,,,,,,,4:打痕、傷,201,正常,0:正常
2-02-01-E1-0077-O,,●,●,3,2024/12/02_15:15:05,M.S.,2024/12/02_15:29:34,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-01-E1-0094-I,,●,●,1,2024/12/02_15:36:04,M.S.,2024/12/02_16:17:09,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-01-E1-0099-I,,●,●,1,2024/12/02_15:36:17,M.S.,2024/12/02_16:17:09,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-01-E1-0100-I,,●,●,1,2024/12/02_15:36:20,M.S.,2024/12/02_16:17:09,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-01-E1-0101-I,,●,●,1,2024/12/02_15:36:23,M.S.,2024/12/02_16:17:09,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-01-E1-0153-O,,●,●,2,2024/12/02_15:18:38,M.S.,2024/12/02_15:29:34,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-01-E1-0154-O,,●,●,2,2024/12/02_15:18:40,M.S.,2024/12/02_15:29:34,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-01-E1-0385-I,,●,●,1,2024/12/02_16:15:05,M.S.,2024/12/02_16:17:09,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-01-E1-0387-I,,●,●,2,2024/12/02_16:15:18,M.S.,2024/12/02_16:17:09,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-01-E1-0388-I,,●,●,1,2024/12/02_16:15:12,M.S.,2024/12/02_16:17:09,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-02-E1-0000-O,,●,●,1,2024/12/03_09:24:21,M.S.,2024/12/03_10:11:26,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-02-E1-0001-O,,●,●,1,2024/12/03_09:24:29,M.S.,2024/12/03_10:11:26,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-02-E1-0240-O,,●,●,1,2024/12/03_09:37:21,M.S.,2024/12/03_10:11:26,,●,,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-02-E1-0392-I,,●,●,2,2024/12/03_10:27:00,M.S.,2024/12/03_10:40:09,,●,●,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-02-E1-0393-I,,●,●,1,2024/12/03_10:27:04,M.S.,2024/12/03_10:40:09,,●,●,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
2-02-02-E1-0471-I,,●,●,1,2024/12/03_10:39:43,M.S.,2024/12/03_10:40:09,,●,●,,●,,,,,,,,,,,,4:打痕、傷,202,正常,0:正常
