画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
2-00-01-E1-0180-I,,●,●,2,2024/12/16_11:21:00,M.S.,2024/12/16_12:55:57,,,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-01-E1-0181-I,,●,●,2,2024/12/16_11:21:04,M.S.,2024/12/16_12:55:57,,,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-01-E1-0182-I,,●,●,2,2024/12/16_11:21:07,M.S.,2024/12/16_12:55:57,,,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-01-E1-0257-O,,●,●,2,2024/11/29_14:11:23,M.S.,2024/11/29_14:29:20,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-01-E1-0258-O,,●,●,3,2024/11/29_14:11:16,M.S.,2024/11/29_14:29:20,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0178-O,,●,●,1,2024/11/29_16:24:28,M.S.,2024/11/29_17:01:04,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0197-I,,●,●,1,2024/12/02_10:23:27,R.S.,2024/12/02_10:31:37,,,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0198-I,,●,●,1,2024/12/02_10:23:29,R.S.,2024/12/02_10:31:37,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0211-I,,●,●,1,2024/12/02_10:23:58,R.S.,2024/12/02_10:31:37,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0212-O,,●,●,1,2024/11/29_16:31:33,M.S.,2024/11/29_17:01:04,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0212-I,,●,●,1,2024/12/02_10:24:00,R.S.,2024/12/02_10:31:37,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0213-O,,●,●,1,2024/11/29_16:31:37,M.S.,2024/11/29_17:01:04,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0225-I,,●,●,1,2024/12/02_10:24:23,R.S.,2024/12/02_10:31:37,,,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0226-I,,●,●,1,2024/12/02_10:24:26,R.S.,2024/12/02_10:31:37,,,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0228-I,,●,●,1,2024/12/02_10:24:32,R.S.,2024/12/02_10:31:37,,,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0229-I,,●,●,1,2024/12/02_10:24:37,R.S.,2024/12/02_10:31:37,,,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0233-I,,●,●,1,2024/12/02_10:24:46,R.S.,2024/12/02_10:31:37,,,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0234-I,,●,●,1,2024/12/02_10:24:49,R.S.,2024/12/02_10:31:37,,,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0241-O,,●,●,2,2024/11/29_16:32:58,M.S.,2024/11/29_17:01:04,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0242-O,,●,●,1,2024/11/29_16:32:53,M.S.,2024/11/29_17:01:04,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0244-I,,●,●,2,2024/12/02_10:25:47,R.S.,2024/12/02_10:31:37,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0245-O,,●,●,1,2024/11/29_16:33:11,M.S.,2024/11/29_17:01:04,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0245-I,,●,●,1,2024/12/02_10:25:48,R.S.,2024/12/02_10:31:37,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0246-I,,●,●,1,2024/12/02_10:25:52,R.S.,2024/12/02_10:31:37,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0441-O,,●,●,1,2024/11/29_16:40:04,M.S.,2024/11/29_17:01:04,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,200,正常,0:正常
2-00-02-E1-0463-O,,●,●,1,2024/11/29_17:00:09,M.S.,2024/11/29_17:01:04,,●,,,,,●,,,,,,,,,?,6:ウォーターマーク,200,正常,0:正常
2-01-01-E1-0169-O,,●,●,1,2024/12/02_12:34:17,M.S.,2024/12/06_16:52:30,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-01-01-E1-0190-I,,●,●,1,2024/12/02_13:11:27,M.S.,2024/12/06_16:52:30,,,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-01-01-E1-0191-I,,●,●,1,2024/12/02_13:11:29,M.S.,2024/12/06_16:52:30,,,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-01-01-E1-0239-O,,●,●,1,2024/12/02_12:41:34,M.S.,2024/12/06_16:52:30,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-01-01-E1-0266-O,,●,●,2,2024/12/02_12:48:26,M.S.,2024/12/06_16:52:30,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-01-01-E1-0267-O,,●,●,1,2024/12/02_12:48:28,M.S.,2024/12/06_16:52:30,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-01-01-E1-0268-O,,●,●,1,2024/12/02_12:48:31,M.S.,2024/12/06_16:52:30,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-01-02-E1-0010-O,,●,●,1,2024/12/03_08:55:15,R.S.,2024/12/03_08:59:36,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-01-02-E1-0255-I,,●,●,1,2024/12/03_10:15:52,R.S.,2024/12/03_10:20:29,,,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-01-02-E1-0271-I,,●,●,1,2024/12/03_10:17:02,R.S.,2024/12/03_10:20:29,,,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-01-02-E1-0272-I,,●,●,1,2024/12/03_10:17:04,R.S.,2024/12/03_10:20:29,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,201,正常,0:正常
2-02-01-E1-0085-O,,●,●,2,2024/12/02_15:15:29,M.S.,2024/12/02_15:29:34,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-01-E1-0106-I,,●,●,1,2024/12/02_15:36:35,M.S.,2024/12/02_16:17:09,,,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-01-E1-0107-I,,●,●,1,2024/12/02_15:36:37,M.S.,2024/12/02_16:17:09,,,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-01-E1-0155-O,,●,●,2,2024/12/02_15:18:44,M.S.,2024/12/02_15:29:34,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-01-E1-0169-O,,●,●,4,2024/12/02_15:22:31,M.S.,2024/12/02_15:29:34,,●,,,,,●,,,,,,,,,外側の〇は？,6:ウォーターマーク,202,正常,0:正常
2-02-01-E1-0170-O,,●,●,1,2024/12/02_15:22:17,M.S.,2024/12/02_15:29:34,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-01-E1-0183-O,,●,●,2,2024/12/02_15:21:46,M.S.,2024/12/02_15:29:34,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-01-E1-0184-O,,●,●,2,2024/12/02_15:21:49,M.S.,2024/12/02_15:29:34,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-01-E1-0410-O,,●,●,1,2024/12/02_15:10:41,M.S.,2024/12/02_15:29:34,,,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-01-E1-0411-O,,●,●,1,2024/12/02_15:11:05,M.S.,2024/12/02_15:29:34,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0189-I,,●,●,1,2024/12/03_10:18:56,M.S.,2024/12/03_10:40:09,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0190-I,,●,●,1,2024/12/03_10:18:59,M.S.,2024/12/03_10:40:09,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0204-O,,●,●,1,2024/12/03_09:33:59,M.S.,2024/12/03_10:11:26,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0205-O,,●,●,1,2024/12/03_09:34:02,M.S.,2024/12/03_10:11:26,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0233-O,,●,●,1,2024/12/03_09:35:32,M.S.,2024/12/03_10:11:26,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0234-O,,●,●,1,2024/12/03_09:35:34,M.S.,2024/12/03_10:11:26,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0236-I,,●,●,1,2024/12/03_10:23:17,M.S.,2024/12/03_10:40:09,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0237-I,,●,●,1,2024/12/03_10:23:19,M.S.,2024/12/03_10:40:09,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0238-I,,●,●,1,2024/12/03_10:23:22,M.S.,2024/12/03_10:40:09,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0433-O,,●,●,1,2024/12/03_09:42:08,M.S.,2024/12/03_10:11:26,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-02-02-E1-0434-O,,●,●,1,2024/12/03_09:42:11,M.S.,2024/12/03_10:11:26,,●,,,,,●,,,,,,,,,,6:ウォーターマーク,202,正常,0:正常
2-06-01-E1-0116-I,,●,●,1,2024/12/03_10:52:12,R.S.,2024/12/03_10:58:04,,,,,,,●,,,,,,,,,,6:ウォーターマーク,206,残渣,7:残渣
2-06-01-E1-0117-I,,●,●,1,2024/12/03_10:52:18,R.S.,2024/12/03_10:58:04,,,,,,,●,,,,,,,,,,6:ウォーターマーク,206,残渣,7:残渣
