画像コード,除外,有効エリア,アノテーション対象,アノテーション回数,最終アノテーション更新日時,最終担当者,マージ日時,0:正常,1:汚れ,2:擦り跡,3:発塵痕,4:打痕、傷,5:異物,6:ウォーターマーク,7:残渣,8:ヒゲ,9:膜境界不良,10:コメット,11:タイガーストライプ,ノッチ,曖昧,不適,コメント,欠陥分類(順位),サンプル番号,狙い欠陥種,狙い欠陥種(番号)
2-06-01-C1-0076,,●,●,1,2024/12/09_16:18:30,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0077,,●,●,1,2024/12/09_16:18:34,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0078,,●,●,1,2024/12/09_16:18:36,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0079,,●,●,1,2024/12/09_16:18:39,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0080,,●,●,2,2024/12/11_12:35:03,M.S.,2024/12/11_12:59:05,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0081,,●,●,2,2024/12/11_12:35:06,M.S.,2024/12/11_12:59:05,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0082,,●,●,1,2024/12/09_16:18:49,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0085,,●,●,1,2024/12/09_16:19:00,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0086,,●,●,1,2024/12/09_16:19:02,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0087,,●,●,1,2024/12/09_16:19:03,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0088,,●,●,1,2024/12/09_16:19:06,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0090,,●,●,1,2024/12/09_16:21:48,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0091,,●,●,1,2024/12/09_16:28:48,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0093,,●,●,1,2024/12/09_16:30:35,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0094,,●,●,1,2024/12/09_16:30:38,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0096,,●,●,1,2024/12/09_16:30:42,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0098,,●,●,1,2024/12/09_16:30:46,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0101,,●,●,1,2024/12/09_16:30:52,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0102,,●,●,2,2024/12/11_12:35:39,M.S.,2024/12/11_12:59:05,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0103,,●,●,1,2024/12/09_16:30:58,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0104,,●,●,1,2024/12/09_16:30:59,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0105,,●,●,1,2024/12/09_16:31:01,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
2-06-01-C1-0107,,●,●,1,2024/12/09_16:31:04,M.S.,2024/12/09_16:39:58,,,,,,,,●,,,,,,,,,7:残渣,206,残渣,7:残渣
