image_id,original_id,measurement_id,foup_slot,bevel_section,flame_no,split,making_defect_type,selection_no,defect_class
1_01_01_A1_0000_I,1_01_01_A1_0000,1_01_01,,A1,0,I,,,01_normal
1_01_01_A1_0000_O,1_01_01_A1_0000,1_01_01,,A1,0,O,,,01_normal
1_01_01_A1_0001_I,1_01_01_A1_0001,1_01_01,,A1,1,I,,,01_normal
1_01_01_A1_0001_O,1_01_01_A1_0001,1_01_01,,A1,1,O,,,01_normal
1_01_01_A1_0002_I,1_01_01_A1_0002,1_01_01,,A1,2,I,,,01_normal
1_01_01_A1_0002_O,1_01_01_A1_0002,1_01_01,,A1,2,O,,,01_normal
1_01_01_A1_0003_I,1_01_01_A1_0003,1_01_01,,A1,3,I,,,01_normal
1_01_01_A1_0003_O,1_01_01_A1_0003,1_01_01,,A1,3,O,,,01_normal
1_01_01_A1_0004_I,1_01_01_A1_0004,1_01_01,,A1,4,I,,,01_normal
1_01_01_A1_0004_O,1_01_01_A1_0004,1_01_01,,A1,4,O,,,01_normal
1_01_01_A1_0005_I,1_01_01_A1_0005,1_01_01,,A1,5,I,,,01_normal
1_01_01_A1_0005_O,1_01_01_A1_0005,1_01_01,,A1,5,O,,,01_normal
1_01_01_A1_0006_I,1_01_01_A1_0006,1_01_01,,A1,6,I,,,01_normal
1_01_01_A1_0006_O,1_01_01_A1_0006,1_01_01,,A1,6,O,,,01_normal
1_01_01_A1_0007_I,1_01_01_A1_0007,1_01_01,,A1,7,I,,,01_normal
1_01_01_A1_0007_O,1_01_01_A1_0007,1_01_01,,A1,7,O,,,01_normal
1_01_01_A1_0008_I,1_01_01_A1_0008,1_01_01,,A1,8,I,,,01_normal
1_01_01_A1_0008_O,1_01_01_A1_0008,1_01_01,,A1,8,O,,,01_normal
1_01_01_A1_0009_I,1_01_01_A1_0009,1_01_01,,A1,9,I,,,01_normal
1_01_01_A1_0009_O,1_01_01_A1_0009,1_01_01,,A1,9,O,,,01_normal
1_01_01_A1_0010_I,1_01_01_A1_0010,1_01_01,,A1,10,I,,,01_normal
